ES | 1113 | Environmental Botany | P | C | | Study of structure and function of plant cells, tissues, and organs. Includes an evolutionary survey and life histories of the following representative groups: algae, fungi, mosses, liverworts, ferns, and seed producing organisms. Plant reproductive and functional interactions with their environment and with humans. May apply toward the Core Curriculum requirement in Life and Physical Sciences.
ES | 3123 | Introduction to Soils | P ES 2013 ES 2023 | C | Prerequisites: ES 2013 and ES 2023, or equivalents. | A study of soil properties and processes and relationships to land use, plant growth, environmental quality, and society.
ES | 3143 | Watershed Processes | P ES 2013 ES 2023 ES 1213 | C | Prerequisites: ES 2013, ES 2023 and ES 1213, or equivalents. | This course focuses on watershed processes, watershed assessment, and watershed management.
ES | 3153 | Environmental Chemistry | P ES 2013 ES 2023 CHE 2603 | C | Prerequisites: ES 2013, ES 2023, CHE 2603, or equivalents. | This course explores the chemistry of the environment, the chemistry underlying environmental problems and solutions to environmental problems. Emphasis is placed on thermodynamics and kinetics of reaction cycles; sources, sinks and transport of chemical species; and quantitation of chemical species. Examples are selected from the chemistry of natural and contaminated air, water, and soil. (Same as CE 4613. Credit cannot be earned for both ES 3153 and CE 4613.).
ES | 3163 | Ornithology | P ES 3033 BIO 3283 | C | Prerequisite: ES 3033 or BIO 3283, or equivalents. | A course covering various aspects of the biology of birds, including anatomy, physiology, systematics, evolution, behavior, ecology, and biogeography. Field trips may be required. (Same as BIO 4063. Credit cannot be earned for both ES 3163 and BIO 4063.).
ES | 3173 | Mammalogy | P ES 3033 BIO 3283 | C | Prerequisite: ES 3033 or BIO 3283, or equivalents. | A course covering various aspects of the biology of mammals, including anatomy, physiology, systematics, evolution, behavior, ecology, and biogeography. Field trips may be required.
ES | 3183 | Entomology | P ES 3033 BIO 3283 | C | Prerequisite: ES 3033 or BIO 3283, or equivalents. | A course covering various aspects of the biology of insects, including anatomy, physiology, systematics, evolution, behavior, ecology, and biogeography. Field trips may be required.
ES | 3193 | Herpetology | P ES 3033 BIO 3283 | C | Prerequisite: ES 3033 or BIO 3283, or equivalents. | A course covering various aspects of the biology of amphibians and reptiles, including anatomy, physiology, systematics, evolution, behavior, ecology, and biogeography. Field trips may be required.
ES | 3203 | Environmental Law | P | C | | Present-day environmental enabling acts and regulations will be covered, with emphasis on federal acts, such as the National Environmental Policy Act, Clean Water Act, Resource Conservation and Recovery Act, and associated regulations.
ES | 3213 | Biology of Flowering Plants | P | C | Prerequisite: Junior or senior status; a minimum of 60 semester credit hours. | A study of the wildflowers of Texas emphasizing identification of the more common wildflowers, as well as family characteristics, flower anatomy, plant morphology, and plant-collecting techniques will be included. Lecture, laboratory, and fieldwork will be included as part of the course. (Same as BIO 3273. Credit can only be earned for ES 3213 or BIO 3273.).
ES | 3223 | Woody Plants | P | C | Prerequisite: Junior or senior status; a minimum of 60 semester credit hours. | A study of the woody plants emphasizing the characteristics of family, genus, and species. Includes identification of the common woody plants. Leaf, stem, and flower morphology, anatomy, and collecting techniques. Lecture, laboratory, and fieldwork will be included as part of the course. (Same as BIO 3263. Credit can only be earned for ES 3223 or BIO 3263.).
ES | 4003 | Environmental Chemistry and Toxicology | P CHE 2603 ES 2013 ES 2023 | C | Prerequisites: CHE 2603, ES 2013, and ES 2023, or equivalents. | Chemical principles applied to the understanding of processes in aquatic and environmental systems. Emphasis will be on physical, chemical, and biological processes in treatment and processing of hazardous waste materials.
ES | 4103 | Global Change | P CHE 2603 ES 2013 ES 2023 | C | Prerequisites: CHE 2603, ES 2013, and ES 2023, or equivalents. | Changes in the global distribution of plants and animals and the causes of the changes will be examined. Factors that are apparently coupled to changes in these distributions will be examined including, but not limited to, atmospheric composition change and temperature change. Additionally, examination of the impact of humans and their activities on the environment: their effect on aquatic, marine, and terrestrial plant, animal, and human resources. (Formerly ES 4104. Credit cannot be earned for both ES 4103 and ES 4104.).
ES | 4113 | Field Biology | P | C ES 4111 | Prerequisite: Junior or senior status: a minimum of 60 semester credit hours, or consent of instructor. Concurrent enrollment in ES 4111 is recommended.  | A study of the natural history of plants and animals in their native environment. Techniques for the identification of birds, mammals, reptiles, amphibians, insects, and the dominant flowering plants will be discussed. (Same as BIO 4233. Credit cannot be earned for both ES 4113 and BIO 4233.).
ES | 4123 | Desert Biology | P | C | Prerequisite: Junior or senior status: a minimum of 60 semester credit hours, or consent of instructor. | An introduction to wildlife biology and management including ecological principles dealing with ecosystems, natural communities, and populations. The importance of animal behavior, the availability of food, cover, wildlife diseases, predators, hunting, and trapping will be included. Field studies will allow students to observe and apply classroom topics.
ES | 4133 | Natural Resource Policy and Administration | P ES 3203 | C | Prerequisite: ES 3203 or equivalent. | Factors in evolution of forest, range, wildlife and related natural resources administration and policies in the United States; policy components; policy formation implementation, administration and change processes; introduction to criteria for evaluating effectiveness of policies and administration.
ES | 4143 | Environmental Geomorphology | P ES 1213 | C | Prerequisites: ES 1213 or consent of instructor, and junior or senior standing. | Examination of landforms on the Earth’s surface and landscape-forming processes. Field trips may be required.
ES | 4153 | Introduction to Sustainability | P ES 2023 | C | Prerequisites: ES 2023 and junior or senior status: a minimum of 60 semester credit hours, or consent of instructor. | This course will examine the major environmental issues and trends happening in modern society from a scientific and practical perspective, including biodiversity, population, food and water resources, climate change, energy, public health, and the overall forecast for the environment for the next several decades.
ES | 4163 | Renewable Energy | P ES 2023 | C | Prerequisites: ES 2023 and junior or senior status: a minimum of 60 semester credit hours, or consent of instructor. | This course is an introduction to energy systems and renewable energy resources, with a scientific examination of the energy field and an emphasis on alternate energy sources and their technology and application.
ES | 4173 | Waste Water Treatment | P ES 2023 | C | Prerequisite: ES 2023 and junior or senior status: a minimum of 60 semester credit hours, or consent of instructor. | The application of chemical, biochemical, and physical processes to water treatment, wastewater treatment, and pollution control.
ES | 4183 | Environmental Toxicology | P ES 2023 CHE 2603 | C | Prerequisites: ES 2023 and CHE 2603, or equivalents. | Examination of advanced or specialized hazardous or toxic waste treatment methods. Emphasis will be on physical, chemical, and biological processes in treatment and processing of hazardous wastes materials.
ES | 4203 | Environmental Assessment | P ES 2013 ES 2023 | C | Prerequisites: ES 2013 and ES 2023, or equivalents. | This course evaluates the framework of an impact assessment and details regarding the environment (air, water, soil), its pollutants (atmospheric, noise, water, solid waste), their impacts (physical, social, economic), relevant regulations, and pollution minimization or management strategies. Students use this information to review and comment on an existing Environmental Impact Statement (EIS).
ES | 4213 | Conservation Biology | P ES 3033 BIO 3283 | C | Prerequisite: ES 3033 or BIO 3283, or equivalents. | The class topics will include studying the nature of the biosphere, threats to its integrity, and ecologically sound responses to these threats. Also included will be the origin and preservation of biotic diversity, how the rich variety of plant and animal life around us arose, how it has been maintained by natural processes, and how we can prevent its destruction. (Same as BIO 4033. Credit cannot be earned for both ES 4213 and BIO 4033.).
ES | 4233 | Restoration Ecology | P ES 3033 BIO 3283 | C | Prerequisite: ES 3033 or BIO 3283, or equivalents. | Applies ecological principles to the restoration of disturbed terrestrial, wetland, and aquatic ecosystems. Includes the restoration of soils and waterways, of flora and fauna, and of natural ecological processes such as plant succession and nutrient cycling.
ES | 4243 | Wildlife Management | P ES 3033 BIO 3283 | C | Prerequisite: ES 3033 or BIO 3283, or equivalents. | An introduction to wildlife biology and management including ecological principles dealing with ecosystems, natural communities, and populations. The importance of animal behavior, the availability of food, cover, wildlife diseases, predators, hunting, and trapping will be included. Field studies will allow students to observe and apply classroom. (Same as BIO 4053. Credit cannot be earned for both ES 4243 and BIO 4053.).
ES | 4253 | Sources, Fate, and Transport of Chemicals in the Environment | P ES 2013 ES 2023 CHE 2603 | C | Prerequisites: ES 2013, ES 2023, CHE 2603, or equivalents. | Sources of chemicals in the environment. Processes regulating fate and transport of metals, organics, nutrients, salts, pathogens, and radionuclides in the environment.
ES | 4912 | Independent Study | P | C | Prerequisites: Permission in writing (form available) of the instructor, the student’s advisor, the Department Chair, and Dean of the College in which the course is offered. | Independent reading, research, discussion, and/or writing under the direction of a faculty member. May be repeated for credit, but not more than 6 semester credit hours, regardless of discipline, will apply to a bachelor’s degree.
ES | 4913 | Independent Study | P | C | Prerequisites: Permission in writing (form available) of the instructor, the student’s advisor, the Department Chair, and Dean of the College in which the course is offered. | Independent reading, research, discussion, and/or writing under the direction of a faculty member. May be repeated for credit, but not more than 6 semester credit hours, regardless of discipline, will apply to a bachelor’s degree.
ES | 4953 | Special Studies in Environmental Science | P | C | Prerequisite: Consent of instructor. | An organized course offering the opportunity for specialized study not normally or not often available as part of the regular course offerings. Special Studies may be repeated for credit when the topics vary, but not more than 6 semester credit hours, regardless of discipline, will apply to a bachelor’s degree.
