IS | 1022 | Programming and Formal Logic | P | C | | An introduction to the elements of modern formal logic and program semantics. Modern formal logic uses symbolic techniques for an analysis of validity, and related notations such as grammatical form and truth. This course addresses logical notations (syntax) and how to assign meaning to them (semantics), which are essential for an understanding of many aspects of contemporary philosophy, mathematics, and informal processing. (Formerly IS 1023. Credit cannot be earned for both IS 1022 and IS 1023.).
IS | 4213 | Data Center Infrastructure Planning | P IS 4033 | C | Prerequisite: IS 4033 with a grade of “C-” or better or consent of instructor, Department Chair, and Dean of the College. | The purpose of this class will be to explore the electrical power, air conditioning, and fire suppressant requirements of a data center.  Electrical grids, standby generators, and uninterruptable power supplies will be discussed.  The course explores the various aspects of power quality, interruption of service, voltage flicker and control, voltage swells and sags and power surges.  Air conditioning requirements and methods will also be included.  Fire suppressant techniques will also be part of the class.  A comprehensive project involving the design of the data center to include these three major issues will be part of the class. (Formerly titled “Power and Air Conditioning.”).
IS | 4223 | Emerging Network Technologies | P IS 3453 | C | Prerequisite: IS 3453 with a grade of &quot;C-&quot; or better or consent of instructor, Department Chair, and Dean of the College. | Cloud computing has become popular in industry. This class will look at what it is and how it works. How cloud computing interfaces with current networks, computing ability and storage requirements will be discussed. Security issues will be an important part of the course. Other topics include virtual machines, storage area networks and remote systems management.
IS | 4233 | Cloud Technologies for Business | P IS 3413 | C | Prerequisite: IS 3413 with a grade of “C-&quot; or better. | Cloud computing has driven a significant shift in how enterprises operate. It changes the way businesses and their customers interact with their applications and data. Cloud technologies offer highly elastic scalability in the delivery of enterprise applications through software, platform, or infrastructure as a service. This course will look at how businesses can benefit from cloud technologies to stay competitive; it will cover fundamental concepts and models of cloud computing, as well as cloud computing mechanisms, architectures, and security.
IS | 4463 | Web Application Security | P IS 3513 MGT 3003 | C | Prerequisites: IS 3513 with a grade of &quot;C-&quot; or better and MGT 3003 or consent of instructor. | The security issues related to web applications will be discussed in this course. Topics include web application authentication, authorization, as well as browser and web database security principles. Various web application security attack types such as code injection, cross-site scripting, and cross-site request forgery will be studied. The course will also include discussions about business aspects that contribute to a secure web-based transaction environment. (Formerly titled “Secure Electronic Commerce.”).
IS | 4473 | Information Assurance Policy | P IS 3413 MGT 3003 | C | Prerequisites: IS 3413 with a grade of &quot;C-&quot; or better, MGT 3003, and one 3-semester-credit-hour security course, or consent of instructor, Department Chair, and Dean of the College. | There are many policy issues, within the firm and at various levels of government, that affect information assurance. This course will examine how these policies affect electronic security. Subjects will include privacy of information, intellectual property protection, globalization of information systems, and other policy matters. The protection and control of secured information will also be discussed.
IS | 4483 | Digital Forensic Analysis I | P | C | | An introductory course in collecting, examining, and preserving evidence of computer crimes. This course examines the issues, tools, and control techniques needed to successfully investigate illegal activities facilitated through the use of information technology. The tools of collecting, examining, and evaluating data in an effort to establish intent, culpability, motive, means, methods, and loss resulting from e-crimes will be examined. (Formerly titled &quot;Cyber Forensics.&quot;).
IS | 4513 | Cyber and Physical Systems | P IS 3513 MGT 3003 | C | Prerequisites: IS 3513 with a grade of “C-” or better and MGT 3003 or consent of instructor, Department Chair, and Dean of the College. | Many of the critical infrastructure systems contain a system control and data acquisition (SCADA) component. Frequently, the control systems are remotely accessed and therefore becomes the focal point for attack. This course examines the control system components from the standpoint of vulnerability and protection. (Formerly titled “System Control and Data Acquisition.”).
IS | 4523 | Digital Forensic Analysis II | P IS 4483 | C | Prerequisite: IS 4483. | This course examines advanced digital forensic analysis topics, tools, techniques, and control mechanisms. Advanced topics include operating system artifacts, non-standard file systems, mobile devices, malware, and volatile memory. Students will gain experience with state-of-the-art forensics tools and techniques needed to successfully investigate illegal activities perpetuated through the use of information technology.
IS | 4913 | Independent Study | P MGT 3003 | C | Prerequisites: MGT 3003, a 3.0 COB grade point average, and permission in writing from the instructor, the Department Chair, and the Dean of the College. See academic advisor for the required forms. | Independent research in an information systems topic under the direction of a faculty member. May be repeated for credit, but not more than 6 semester credit hours of independent study, regardless of discipline, will apply to a bachelor’s degree.
IS | 4933 | Internship in Information Systems | P MGT 3003 IS 1403 | C | Prerequisites: MGT 3003, 9 semester credit hours of information systems courses (excluding IS 1403 and IS 3003), a 2.5 UTSA grade point average, and permission in writing from the instructor, the Department Chair, and the Dean of the College. See academic advisor for required forms. | The opportunity to gain knowledge through experiential activities in professional life. Joint cooperation with business and governmental institutions in structuring and monitoring work experience aimed at supplementing the classroom learning process. May not be repeated for credit.
IS | 4943 | Internship in Information Assurance | P MGT 3003 IS 1403 | C | Prerequisites: MGT 3003, 9 semester credit hours of information systems courses (excluding IS 1403 and IS 3003), a 2.5 UTSA grade point average, and permission in writing from the instructor, the Department Chair, and the Dean of the College. See academic advisor for required forms. | The opportunity to gain knowledge through experiential activities in professional life. Joint cooperation with business and governmental institutions in structuring and monitoring work experience aimed at supplementing the classroom learning process. May not be repeated for credit.
IS | 4953 | Special Studies in Information Systems | P | C | Prerequisite: Consent of instructor. | An organized course offering specialized study not normally or not often available as part of the regular course offerings. Special Studies may be repeated for credit when the topics vary, but not more than 6 semester credit hours, regardless of discipline, will apply to a bachelor’s degree.
IS | 4993 | Honors Thesis | P MGT 3003 | C | Prerequisite: MGT 3003. Enrollment limited to students applying for Honors in Information Systems. | Supervised research and preparation of an honors thesis. May be repeated once for credit with advisor’s approval. No more than 3 semester credit hours may apply toward information systems major requirements.
MOT | 4023 | Essentials of Technology Management | P MGT 3003 MGT 3003 | C | Prerequisite: MGT 3003 or approval of the Department Chair and the Dean of the College. MGT 3003 is waived for nonbusiness students declaring Technology Management as a minor. | This survey course provides an overview of the issues that impact technology management. All technology management subsystems are included: strategy, technology, resource, organizational, project, and people. The course is designed to help students develop the systems thinking necessary to successfully interact with the burgeoning technological world. The course will also provide the opportunity for students to develop the entrepreneurial skills important in managing the design, development, and commercialization of technological goods and services. (Formerly titled “Management of Technology.”).
MOT | 4143 | Introduction to Project Management | P MGT 3003 MGT 3003 | C | Prerequisite: MGT 3003 or approval of the Department Chair and the Dean of the College. MGT 3003 is waived for nonbusiness students declaring Technology Management as a minor. | This introductory course presents concepts and techniques for the management of many types of projects including engineering, construction, product development, as well as science and technology projects. The course is designed to help students develop project planning skills including scope definition, scheduling, cost-estimating and risk assessment. The course will also provide the opportunity for students to develop skills in support of project leadership, team building and communication.
MOT | 4203 | Strategic Management of Technology and Innovation | P MOT 4023 | C | Prerequisite: MOT 4023 or approval of the Department Chair and the Dean of the College. | This course examines the issues involved in the strategic management of technology in contemporary business organizations. The course will examine new product development, emerging technologies and product portfolios; and will explore the dynamics of innovation in the firm.
MOT | 4313 | Disruptive Innovations | P MOT 4023 | C | Prerequisite: MOT 4023 or approval of the Department Chair and the Dean of the College. | This survey course focuses on technologies that may transform society and improve quality of life: the emphasis is on the nexus among biotechnology, information systems, materials, and renewable energy. The course will help students refine the systems thinking necessary to connect technology with users: it investigates the barriers that entrepreneurs face during commercialization. Cooperative learning is a defining characteristic of the course.
MOT | 4912 | Independent Study | P MOT 4023 | C | Prerequisites: A 3.0 COB grade point average, MOT 4023 and permission in writing from the instructor, the Department Chair, and the Dean of the College of Business. See academic advisor for the required forms. | Independent research in a management of technology topic under the direction of a faculty member. May be repeated for credit, but not more than 6 semester credit hours of independent study, regardless of discipline, will apply to a bachelor's degree.
MOT | 4913 | Independent Study | P MOT 4023 | C | Prerequisites: A 3.0 COB grade point average, MOT 4023 and permission in writing from the instructor, the Department Chair, and the Dean of the College of Business. See academic advisor for the required forms. | Independent research in a management of technology topic under the direction of a faculty member. May be repeated for credit, but not more than 6 semester credit hours of independent study, regardless of discipline, will apply to a bachelor's degree.
MOT | 4952 | Special Studies in Management of Technology | P MOT 4023 | C | Prerequisites: MOT 4023 and approval of the Department Chair and the Dean of the College. | An organized course offering specialized study not normally or not often available as part of the regular course offerings. Special Studies may be repeated for credit when the topics vary, but not more than 6 semester credit hours, regardless of discipline, will apply to a bachelor's degree.
MOT | 4953 | Special Studies in Management of Technology | P MOT 4023 | C | Prerequisites: MOT 4023 and approval of the Department Chair and the Dean of the College. | An organized course offering specialized study not normally or not often available as part of the regular course offerings. Special Studies may be repeated for credit when the topics vary, but not more than 6 semester credit hours, regardless of discipline, will apply to a bachelor's degree.
