AST | 1013 | Introduction to Astronomy | P MAT 1023 MAT 1073 | C | Prerequisite: MAT 1023 or MAT 1073. | A descriptive course including the development of astronomy, its methods, and the motions, laws, and evolution of the solar system. Topics include general properties and types of stars, unusual stellar objects such as quasars and black holes, galaxies, evolution, and cosmology. Occasional evening viewing sessions are held. May apply toward the Core Curriculum requirement in Life and Physical Sciences.
AST | 4203 | Stellar Astrophysics | P AST 3023 | C | Prerequisite: AST 3023 or consent of instructor. | Topics include properties and evolution of stars, stellar atmospheres, stellar spectra, nuclear reactions, stellar models, equations of state, radiative transfer, nucleosynthesis in stars, supernovae, and degenerate stars.
AST | 4303 | Solar System Astrophysics | P AST 3023 | C | Prerequisite: AST 3023 or consent of instructor. | Modern studies of the solar system, including properties of the planets and smaller bodies, and the origin of planetary systems. Topics include the solar system, its formation, structure, and evolution; orbital dynamics, surfaces, interiors, atmospheres, magnetospheres, and other properties of the sun, the planets and their satellites; comets and asteroids; origin of planetary systems; extra-solar systems. (Formerly titled “The Solar System.”).
AST | 4953 | Special Studies in Astronomy | P AST 3023 | C | Prerequisites: AST 3023 and consent of instructor. | An organized course offering the opportunity for specialized study not normally or not often available as part of the regular course offerings. Special Studies may be repeated for credit when the topics vary, but not more than 6 semester credit hours, regardless of discipline, will apply to a bachelor’s degree.
PHY | 1013 | Universes | P MAT 1023 MAT 1073 | C | Prerequisite: MAT 1023 or MAT 1073 or consent of instructor. | This course is an introduction to contemporary physics and cosmology. The goal is to study some of the profound discoveries in fundamental physics made during the 20th century, and how they have shaped our modern conception of the universe and of our place in it. Topics discussed include Einstein’s theories of special and general relativity, quantum physics, modern cosmology (including the very early universe), and the standard model of elementary particles and forces. May not be applied toward the B.S. degree in Physics without prior written approval of the department. May apply toward the Core Curriculum requirement in Life and Physical Sciences.
PHY | 1603 | Algebra-based Physics I | P MAT 1023 MAT 1073 | C PHY 1611 | Prerequisite: MAT 1023 or MAT 1073 completed with a grade of “C-” or better; concurrent enrollment in PHY 1611 is recommended. Concurrent enrollment in PHY 1611 is recommended. | The first of a two-part, algebra-based introduction to physics for biology and other majors that do not require calculus-based physics. Topics include mechanics, thermodynamics, vibrations and waves.
PHY | 1623 | Algebra-based Physics II | P PHY 1603 | C PHY 1631 | Prerequisite: PHY 1603 completed with a grade of “C-” or better. Concurrent enrollment in PHY 1631 is recommended. | The second of a two-part, algebra-based introduction to physics for biology and other majors that do not require calculus-based physics. Topics include electricity, magnetism, optics, relativity, and quantum physics.
PHY | 1943 | Physics for Scientists and Engineers I | P MAT 1193 MAT 1214 | C PHY 1951 | Prerequisites: MAT 1193 or MAT 1214 completed with a grade of “C-” or better; completion of or concurrent enrollment in MAT 1224 (if student took MAT 1214) or STA 1403 (if student took MAT 1193) is required. Concurrent enrollment in PHY 1951 is recommended. | The first of a two-part, calculus-based introduction to classical physics, designed for physical sciences, mathematics, and engineering majors. Topics include mechanics and Newton’s laws, conservation laws, gravitation, rotational motion and rigid bodies, oscillations and waves. Classes meet weekly for three hours of lecture and one hour of recitation. May apply toward the Core Curriculum requirement in Life and Physical Sciences. (Formerly PHY 1903 and PHY 1904. Credit cannot be earned for more than one of the following: PHY 1903, PHY 1904, or PHY 1943.).
PHY | 1963 | Physics for Scientists and Engineers II | P PHY 1943 MAT 1224 MAT 1193 | C PHY 1971 | Prerequisites: PHY 1943 and MAT 1224 (or MAT 1193 and STA 1403) completed with grades of “C-” or better. Concurrent enrollment in PHY 1971 is recommended. | The second of a two-part, calculus-based introduction to classical physics, designed for physical sciences, mathematics, and engineering majors. Topics include an introduction to thermal physics, electricity and magnetism, fundamentals of circuits, electromagnetic induction, AC circuits, electromagnetic waves, and Maxwell’s equations. Classes meet weekly for three hours of lecture and one hour of recitation. May apply toward the Core Curriculum requirement in Life and Physical Sciences. (Formerly PHY 1923 and PHY 1924. Credit cannot be earned for more than one of the following: PHY 1923, PHY 1924, or PHY 1963.).
PHY | 2103 | Modern Physics | P PHY 1963 MAT 2214 | C PHY 3203 | Prerequisites: PHY 1963, MAT 2214 (completed with a grade of “C-” or better), and completion of or concurrent enrollment in PHY 3203, or consent of instructor. | Topics include special relativity, Planck’s Radiation Law, elements of quantum mechanics, atomic and molecular structures, spectra, the atomic nucleus, nuclear reactions, and an introduction to elementary particles. (Formerly PHY 3103. Credit cannot be earned for both PHY 2103 and PHY 3103.).
PHY | 2823 | Mathematical Physics I | P MAT 2214 PHY 1963 | C | Prerequisites: MAT 2214 and PHY 1963, or consent of instructor. | Topics may include vector analysis, introduction to complex variables, Fourier series, ordinary differential equations, linear algebra, and selected application to problems in mechanics and electromagnetic theory. (Formerly PHY 3823. Credit cannot be earned for both PHY 2823 and PHY 3823.).
PHY | 3003 | Current Research Topics in Physics | P PHY 1623 PHY 1631 PHY 1963 PHY 1971 | C | Prerequisites: PHY 1623 and PHY 1631, or PHY 1963 and PHY 1971, completed with a grade or “C-” or better. | This course provides students the opportunity to acquire knowledge in contemporary physics through the study and class discussions of selected topics and recent articles. Subjects may include one or more of the following: special and general relativity, elements of quantum mechanics, atomic and molecular physics, solid state, biophysics, nuclear physics, introduction to elementary particles, astrophysics and cosmology, etc. May not be applied toward the B.S. or B.A. degree in Physics without prior written approval of the department.
PHY | 3143 | Introduction to Computational Physics | P PHY 2103 PHY 2823 PHY 3203 | C | Prerequisites: PHY 2103, PHY 2823, and PHY 3203, or consent of instructor. | This course introduces the computer techniques used to solve (and improve the understanding of) physical problems that may be intractable by the standard “pencil and paper” analytical approach. Topics may include numerical solution of differential equations, numerical integration, eigenvalue problems, use of computer algebra systems such as Mathematica or Maple, Monte Carlo methods, computer visualization of physical problems, etc. Examples are taken from classical and quantum mechanics, electrodynamics, statistical mechanics, and solid state physics. May be applied toward a B.S. degree in Physics with approval of the physics advisor. (Formerly titled “Computer Visualization of Physics.”).
PHY | 3203 | Classical Mechanics I | P PHY 1963 | C PHY 2823 | Prerequisites: PHY 1963 and completion of, with a grade of “C-” or better, or concurrent enrollment in PHY 2823, or consent of instructor. | Topics include Newtonian mechanics, oscillations, central-force motion, gravitation, Hamiltonian and Lagrangian dynamics.
PHY | 3293 | Thermal Physics | P PHY 1963 PHY 2823 | C | Prerequisites: PHY 1963 and PHY 2823, or consent of instructor. | Topics include fundamentals of thermodynamics: entropy, free energy, phase transitions, and thermodynamic potentials; equilibrium, Maxwell-Boltzmann, Bose-Einstein, and Fermi-Dirac distribution functions; derivation of macroscopic equilibrium thermodynamics from statistical mechanics.
PHY | 3313 | Materials Physics | P PHY 2103 | C | Prerequisite: PHY 2103 or consent of instructor. | Topics covered include crystal structure and band theory, density functional theory, a survey of properties of metals and semiconductors, phonons, electron-phonon interaction and superconductivity. (Formerly titled “Solid State Physics.”).
PHY | 3343 | Physics Research Laboratory | P PHY 1971 PHY 2103 PHY 2111 | C | Prerequisites: PHY 1971, PHY 2103 and PHY 2111. | This course provides students majoring in physics the opportunity to acquire knowledge in advanced experimental techniques gained through actual participation in real-world physics research labs. (Formerly titled “Advanced Physics Laboratory.”).
PHY | 3423 | Electricity and Magnetism | P PHY 1963 PHY 2823 | C MAT 3613 | Prerequisites: PHY 1963, PHY 2823, and completion of (with a grade of “C-” or better) or concurrent enrollment in MAT 3613, or consent of instructor. | Topics include vector calculus, electrostatics, magnetostatics, Faraday’s Law, and solutions to Laplace’s equation.
PHY | 3443 | Modern Optics | P PHY 3423 | C | Prerequisite: PHY 3423 or consent of instructor. | Topics include reflection, refraction, absorption, polarization, and diffraction of light, filters, lasers, nonlinear properties, and Fourier optics.
PHY | 3453 | Lasers | P PHY 2103 | C | Prerequisite: PHY 2103 or consent of instructor. | Topics include basic principles and designs of lasers: Einstein A and B coefficients; semiclassical laser theory; the phase-coherent nature of the stimulated emission process; and laser efficiency. Various applications of lasers, such as laser-induced fluorescence, light wave communications, holography, surgery, and laser fusion.
PHY | 3513 | Electrodynamics | P PHY 2823 PHY 3423 | C | Prerequisites: PHY 2823 and PHY 3423, or consent of instructor. | Continuation of the material started in PHY 3423. Topics include Maxwell’s equations, electromagnetic waves, wave guides, and radiation from accelerated charges.
PHY | 3583 | Mathematical Physics II | P PHY 2823 | C | Prerequisite: PHY 2823 or consent of instructor. | Topics may include series solutions of differential equations, partial differential equations of physics, special functions, integral transforms and introduction to tensor calculus. Applications may include topics in classical and quantum mechanics, electrostatics and electrodynamics. (Formerly PHY 4823. Credit cannot be earned for both PHY 3583 and PHY 4823.).
PHY | 3603 | Cosmology | P PHY 1963 PHY 2103 | C | Prerequisites: PHY 1963 and PHY 2103, or consent of instructor. | This course is an introduction to physical cosmology. Topics include large-scale structure, expansion and age of the universe; non-Euclidean spaces, big bang cosmology, baryogenesis, nucleosynthesis, and cosmic microwave background radiation; particle physics and inflationary cosmology. (Formerly PHY 4033. Credit cannot be earned for both PHY 3603 and PHY 4033.).
PHY | 4013 | Relativity | P PHY 2823 PHY 3203 | C | Prerequisites: PHY 2823 and PHY 3203, or consent of instructor. | Topics include special relativity: Lorentz transformations, four-vectors, geometry of flat space-time, relativistic dynamics. General relativity: Principle of equivalence, introduction to tensor calculus, Einstein’s field equations, Schwarzschild’s solution, black holes. Introduction to cosmology.
PHY | 4203 | Classical Mechanics II | P PHY 3203 | C | Prerequisite: PHY 3203 or consent of instructor. | Topics may include nonlinear oscillations and chaos, systems of particles and collisions, non-inertial frames, rigid bodies, coupled oscillations, continuous systems and waves.
PHY | 4263 | Quantum Mechanics I | P PHY 2103 PHY 3203 MAT 2233 | C PHY 3583 | Prerequisites: PHY 2103, PHY 3203, MAT 2233, and completion of or concurrent enrollment in PHY 3583, or consent of instructor. | Topics include the time-independent Schrodinger equation; operator methods, and the postulates of quantum mechanics; one-dimensional potentials; quantum harmonic oscillator; angular momentum and spin; entanglement and its applications; quantum mechanics in three dimensions and the hydrogen atom.
PHY | 4423 | Quantum Mechanics II | P PHY 3583 PHY 4263 | C | Prerequisite: PHY 3583 and PHY 4263, or consent of instructor. | Topics include identical particles; time-independent perturbation theory; WKB approximation, time-dependent perturbation theory, the variational principle; the adiabatic approximation and Berry’s phase; scattering.
PHY | 4563 | Biophotonics | P PHY 3443 | C | Prerequisite: PHY 3443 or consent of instructor. | Topics including basic concepts of optical radiation interacting with biological materials will be covered. Discussion of how the unique properties of photons are exploited to understand the biological structure and its function. Photon absorption and emission in biological materials will be considered to explain their applications, including optical imaging as a noninvasive diagnosis tool, photodynamic therapy (PDT), etc.
PHY | 4603 | Crystallography and Materials Characterization | P PHY 2103 | C | Prerequisite: PHY 2103 or consent of instructor. | This course will describe the basics of crystal description and will discuss the characterization methods such as x-ray electron and neutron diffraction.
PHY | 4623 | Nanotechnology | P PHY 2103 | C | Prerequisite: PHY 2103 or consent of instructor. | This course will describe the fundamentals of nanotechnology, including properties of matter at the nanometric size.
PHY | 4653 | Introduction to Micro and Nanotechnology | P PHY 3423 | C | Prerequisite: PHY 3423 or consent of instructor. | Survey of micro and nanofabrication techniques, scaling laws, mechanical, optical, electrical, magnetic and thermal transducers, microfluidic applications, and nanostructures. Structures produced in the laboratory include microactuators, nanoparticles and microfluidics. This course differs from PHY 4623 in that it is oriented more toward fabrication techniques, rather than fundamentals. (Credit cannot be earned for both PHY 4653 and EE 4523.).
PHY | 4703 | Renewable Energy | P PHY 2103 | C | Prerequisite: PHY 2103 or consent of instructor. | Topics include physics of photovoltaic cells, semiconductors, solar energy convertors, thin film solar cells, nanostructures for solar energy conversion, dye-sensitized photovoltaic cells, fuels from water and sunlight, strategies for high efficiency.
PHY | 4833 | Molecular Biophysics | P PHY 2103 | C | Prerequisite: PHY 2103 or consent of instructor. | Topics include interaction between molecules, principles of thermodynamics (enthalpy, entropy, free energy) applied to biomolecules, Brownian motion and diffusion of molecules, structure of proteins, and principles of quantum mechanics. Biophysical techniques: absorption spectroscopy, transient absorption, fluorescence spectroscopy, fluorescence lifetime, FTIR spectroscopy, linear and circular dichroism, x-ray crystallography, and atomic force microscopy.
PHY | 4843 | Condensed Matter Theory | P PHY 3313 PHY 4263 | C | Prerequisites: PHY 3313 and PHY 4263, or consent of instructor. | This course offers an introduction to the basic concepts of the quantum condensed matter theory, such as lattice dynamics, elementary excitations, linear response theory, symmetry breaking in Fermi and Bose systems: the physics of superconductivity and superfluidity.
PHY | 4912 | Independent Study | P | C | Prerequisite: Permission in writing (form available) of the instructor, the student’s advisor, the Department Chair, and Dean of the College in which the course is offered. | Independent reading, research, discussion, and/or writing under the direction of a faculty member. May be repeated for credit, but not more than 6 semester credit hours, regardless of discipline, will apply to a bachelor’s degree in physics.
PHY | 4913 | Independent Study | P | C | Prerequisite: Permission in writing (form available) of the instructor, the student’s advisor, the Department Chair, and Dean of the College in which the course is offered. | Independent reading, research, discussion, and/or writing under the direction of a faculty member. May be repeated for credit, but not more than 6 semester credit hours, regardless of discipline, will apply to a bachelor’s degree in physics.
PHY | 4953 | Special Studies in Physics | P | C | Prerequisite: Consent of instructor. | An organized course offering the opportunity for specialized study not normally or not often available as part of the regular course offerings. Special Studies may be repeated for credit when the topics vary, but not more than 6 semester credit hours, regardless of discipline, will apply to a bachelor’s degree.
PHY | 4983 | Unifying Concepts in Physics | P PHY 3293 PHY 3513 PHY 4263 | C PHY 3583 | Prerequisites: PHY 3293, PHY 3513, PHY 4263, and completion with a grade of &quot;C-&quot; or better or concurrent enrollment in PHY 3583, or consent of instructor. | This advanced course is designed to help the students develop a more mature and coherent understanding of the whole discipline through an in-depth exploration of the major branches of physics and their theoretical interconnections.
PHY | 4993 | Honors Research | P | C | Prerequisites: Enrollment limited to candidates for College Honors during their last two semesters; approval by the College Honors Committee. | Supervised research and preparation of an honors thesis. May be repeated once with approval.
