ECO | 2003 | Economic Principles and Issues | P | C | | A nontechnical introduction to economic concepts such as scarcity, costs and benefits, supply and demand, trade, employment, and growth, with applications to current economic issues and policies. May not be counted toward a major in economics, but may be counted as a free elective for College of Business students. May be applied toward the core curriculum requirement in Social and Behavioral Sciences. (Formerly titled “Introduction to Political Economy.”).
ECO | 3253 | Economics of Public and Social Issues | P ECO 2003 ECO 2013 ECO 2023 | C | Prerequisite: Completion of one of the following: ECO 2003, ECO 2013, ECO 2023, or the equivalent, with a grade of “C-” or better, or consent of instructor, Department Chair, and Dean of the College. | A seminar on applying economic reasoning and models to a wide variety of public, ethical, and social issues. Uses advanced techniques in political economy.
ECO | 3263 | Industrial Organization | P ECO 2003 ECO 2023 | C | Prerequisite: Completion of one of the following: ECO 2003, ECO 2023, or the equivalent, with a grade of “C-” or better. | Theory and empirical evidence relating to the structure of American industry and its effect on the firm’s conduct and performance, government policy, and regulation.
ECO | 3273 | Introduction to Public Sector Economics | P ECO 2003 ECO 2023 | C | Prerequisite: Completion of one of the following: ECO 2003, ECO 2023, or the equivalent, with a grade of “C-” or better. | Role of government in the marketplace; cost-benefit analysis; spending and regulatory alternatives; efficiency and equity analysis of taxes; incentives within government; and public policy issues.
ECO | 3283 | Labor Economics | P ECO 2003 ECO 2013 ECO 2023 | C | Prerequisite: Completion of one of the following: ECO 2003, ECO 2013, ECO 2023, or the equivalent, with a grade of “C-” or better, or consent of instructor, Department Chair, and Dean of the College. | Theories of wages and employment determination; U.S. labor history, comparative labor movements, and contemporary labor problems.
ECO | 4273 | Environmental and Resource Economics | P ECO 2003 ECO 2023 | C | Prerequisite: Completion of one of the following: ECO 2003, ECO 2023, or the equivalent, with a grade of “C-” or better. | Economic principles applied to natural resource and environmental problems; relationship of market and nonmarket forces to environmental quality and demands for natural resources; and development of tools for policy analysis.
ECO | 4303 | Economics of Developing Countries | P ECO 2003 ECO 2013 | C | Prerequisite: Completion of one of the following: ECO 2003, ECO 2013, or the equivalent, with a grade of “C-” or better, or consent of instructor, Department Chair, and Dean of the College. | Specific economic problems of developing countries and national groupings; basic approaches to economic development; major proposals for accelerating development; role of planning; and trade, aid, and economic integration. (Formerly titled “Economic Problems of Developing Countries.”).
ECO | 4543 | Economics of School System Reform | P ECO 2003 ECO 2023 | C | Prerequisite: Completion of one of the following: ECO 2003, ECO 2023, or the equivalent, with a grade of “C-” or better, or consent of instructor, Department Chair, and Dean of the College. | Nontechnical applications of basic economic principles to issues facing school systems at the primary and secondary levels worldwide; including background on the evolution of current systems, analysis of critical policy issues such as inefficiencies and inequities; examination of scholars’ and policymakers’ proposals for transformative reform; and consideration of opportunities for research on the issues.
ECO | 4913 | Independent Study | P | C | Prerequisites: A 3.0 COB grade point average, permission in writing (form available) from the instructor, the student’s advisor, the Department Chair, and the Dean of the College of Business. | Independent reading, research, discussion, and/or writing under the direction of a faculty member. May be repeated for credit, but not more than 6 semester credit hours of independent study, regardless of discipline, will apply to a bachelor’s degree.
ECO | 4933 | Internship in Economics | P | C | Prerequisites: 12 semester credit hours of upper-division economics, a 2.5 UTSA grade point average, and permission in writing from the instructor, the Department Chair, and the Dean of the College of Business. See academic advisor for required forms. | This opportunity for work experience in research or applied economics may be undertaken either in private business or a public agency; opportunities are developed in consultation with the faculty advisor and Department Chair and require approval of both. This course will not count as a required economics course. Internships may be repeated (a total of 6 semester credit hours) provided the internships are with different organizations.
ECO | 4953 | Special Studies in Economics | P | C | Prerequisite: Consent of instructor, Department Chair, and Dean of the College. | An organized course offering the opportunity for specialized study not normally or not often available as part of the regular course offerings. Special Studies may be repeated for credit when topics vary, but not more than 6 semester credit hours, regardless of discipline, will apply to a bachelor’s degree.
ECO | 4993 | Honors Thesis | P | C | Prerequisite: Enrollment limited to students applying for Honors in Economics. | Supervised research and preparation of an honors thesis. May be repeated once for credit with advisor’s approval.
