GEO | 1013 | The Third Planet | P | C | | Evolution of ideas concerning the earth’s origin, structure, and age; social impact of recognizing the antiquity of the planet and humankind’s brief presence; examination of how the distribution of planetary resources influenced the rise and clash of civilizations. May not be applied to a major in geology. May apply toward the Core Curriculum requirement in Life and Physical Sciences.
GEO | 3143 | Economic Geology | P GEO 2003 GEO 2011 | C GEO 3151 | Prerequisites: GEO 2003, GEO 2011, and completion of or concurrent enrollment in GEO 3151. | Origin and occurrence of economic natural resources including metallic ore deposits, industrial minerals, and fossil fuels. Field trips may be required.
GEO | 3163 | Oceanography | P | C | | General oceanography, with emphasis on marine geology and especially the continental margins. An optional field trip may be offered.
GEO | 3173 | Polar Regions and Climate Change | P | C | | This course covers properties, areal distribution, seasonal change and climatic change of  the major constituents of the Polar Regions: the large ice sheets of Greenland and Antarctica; seasonal snow cover in the high and mid latitudes; sea ice covers in the Arctic, Southern Ocean and other seas; mountain glaciers from the tropics to the polar regions; and permafrost in the high latitude land areas of the Northern Hemisphere.   How to examine these constituents  will be presented with illustrative examples of monitoring of climate-induced changes in the  Polar Regions using remote sensing and field investigations of processes and properties. Applications discussed will include: snow and ice covers as agents of geological change;  snow and ice impacts as  water resources in Asia and western North America, and global environmental impact through for example,  effects on the earth's radiation budget, and contributions to sea level change. Human impacts covered will include effects of ice covers of rivers and sea ice such as on petroleum extraction, transportation and navigation, frost and freezing damage to crops, and hazards of blizzards and avalanches.
GEO | 3374 | Geochemistry | P GEO 1103 GEO 1111 CHE 1103 CHE 1121 MAT 1093 | C | Prerequisites: GEO 1103, GEO 1111, CHE 1103, CHE 1121, and MAT 1093. | A survey of geochemical processes and the distribution of elements in the earth. Application of geochemical methods and data to the solution of geologic problems. Includes geochemical laboratory experiments and use of analytical equipment. Incorporates use of standard computer software for analysis of geochemical data and graphing of results.
GEO | 3383 | General Geophysics | P | C MAT 1224 PHY 1623 PHY 1963 | Prerequisites: Completion of or concurrent enrollment in MAT 1224 and PHY 1623 or PHY 1963. | This course examines the interrelated geology and physics of the Earth’s interior as deduced from earthquake seismology, gravity and magnetic fields, and the application of geophysical methods to the exploration of near-surface cultural and natural resources. Topics in archeological, environmental, and engineering geophysics will be explored through the methods of refraction seismology, electrical resistivity, electromagnetic induction, microgravity, and ground penetrating radar. Field trips may be required.
GEO | 3393 | Introduction to Isotope Geochemistry | P GEO 1103 GEO 1111 CHE 1103 CHE 1121 MAT 1093 | C | Prerequisites: GEO 1103, GEO 1111, CHE 1103, CHE 1121, and MAT 1093. | The course includes a review of theories of nuclear structure, stability of nucleus, nucleosynthesis and origin of elements, and introduces both radiogenic and stable isotope geochemistry. Topics include radioactive decay schemes for tritium-helium, U-Pb, Rb-Sr, Sm-Nd, K-Ar, and U-Th-Pb-He systems; isotopic fractionations of stable isotopes of C, H, O, N, and S; and application of radiogenic and stable isotopes to petrology, evolution of the crust and mantle, geochronology, geothermometry, archaeology, ecology, hydrology, and paleoclimatic interpretation.
GEO | 4013 | Volcanology | P GEO 3043 | C | Prerequisite: GEO 3043 or consent of instructor. | A survey of volcanoes and volcanic processes, including historically important volcanic eruptions and the prediction and mitigation of volcanic hazards. Field trips may be required.
GEO | 4023 | Engineering Geology | P PHY 1963 PHY 1603 PHY 1943 MAT 1214 | C | Prerequisites: PHY 1963 (engineering majors only) or PHY 1603 or PHY 1943, and MAT 1214; or consent of instructor. | Geologic factors in construction. Geotechnical properties of minerals, rocks, and soils. Case studies. Field trips may be required. (Formerly GEO 3023. Credit cannot be earned for both GEO 4023 and GEO 3023.).
GEO | 4063 | Environmental Geology | P GEO 1103 GEO 1111 | C | Prerequisites: GEO 1103 and GEO 1111. | An analysis of human interaction with geologic systems; the risks and effects of natural geologic hazards such as volcanic eruptions, earthquakes, and floods. Topics will include the effects of human activity on natural systems such as groundwater quality and recharge, river systems, and coasts. The meaning of “geologic repository” for human waste disposal and how the concept is applied will also be addressed.
GEO | 4093 | Principles of Remote Sensing | P MAT 1073 PHY 1603 PHY 1943 | C | Prerequisites: MAT 1073 or higher and PHY 1603 or PHY 1943. | This course will provide a thorough introduction to remote sensing theory, technology, and application. The emphasis in this course is on understanding the underlying principles of acquiring, interpreting, and applying data from imaging systems covering the electromagnetic spectrum from the ultraviolet through the microwave. (Formerly ES 4093. Credit cannot be earned for both GEO 4093 and ES 4093.).
GEO | 4113 | Geomorphology | P GEO 1103 GRG 2613 | C GEO 4121 | Prerequisites: GEO 1103 or GRG 2613, or consent of instructor, and junior or senior standing, and concurrent enrollment in GEO 4121. | Examination of landforms on the Earth’s surface and landscape-forming processes. Field trips may be required.
GEO | 4623 | Groundwater Hydrogeology | P GEO 1103 GEO 1111 PHY 1603 PHY 1943 MAT 1214 | C | Prerequisites: GEO 1103, GEO 1111, PHY 1603 or PHY 1943, and MAT 1214. | Hydrologic cycle and the occurrence and movement of groundwater. Recharge and discharge of aquifers; water quality; exploration and development of ground-water supplies. Field trips may be required.
GEO | 4912 | Independent Study | P | C | Prerequisites: Permission in writing (form available) of the instructor, the student’s advisor, the Department Chair, and the Dean of the College in which the course is offered. | Independent reading, research, discussion, and/or writing under the direction of a faculty member. May be repeated for credit, but not more than 6 semester credit hours, regardless of discipline, will apply to a bachelor’s degree in geology.
GEO | 4913 | Independent Study | P | C | Prerequisites: Permission in writing (form available) of the instructor, the student’s advisor, the Department Chair, and the Dean of the College in which the course is offered. | Independent reading, research, discussion, and/or writing under the direction of a faculty member. May be repeated for credit, but not more than 6 semester credit hours, regardless of discipline, will apply to a bachelor’s degree in geology.
GEO | 4933 | Field Geology Part I | P GEO 3103 GEO 3111 | C | Prerequisites: GEO 3103 and GEO 3111, or consent of instructor. | Part I: Field mapping and measurements. Field trips are required. (Formerly GEO 4946. Credit cannot be earned for both GEO 4933 and GEO 4946.).
GEO | 4943 | Field Geology Part II | P GEO 4933 | C | Prerequisite: GEO 4933 or consent of instructor. | Part II: Field mapping and measurements. Field trips are required. (Formerly GEO 4946. Credit cannot be earned for both GEO 4943 and GEO 4946.).
GEO | 4952 | Special Studies in Geology | P | C | Prerequisite: Consent of instructor. | An organized course offering the opportunity for specialized study not normally or not often available as part of the regular course offerings. Special Studies may be repeated for credit when the topics vary, but not more than 6 semester credit hours, regardless of discipline, will apply to a bachelor’s degree.
GEO | 4953 | Special Studies in Geology | P | C | Prerequisite: Consent of instructor. | An organized course offering the opportunity for specialized study not normally or not often available as part of the regular course offerings. Special Studies may be repeated for credit when the topics vary, but not more than 6 semester credit hours, regardless of discipline, will apply to a bachelor’s degree.
GEO | 4993 | Honors Research | P | C | Prerequisites: Enrollment limited to candidates for College Honors during their last two semesters; approval by the College Honors Committee. | Supervised research and preparation of an honors thesis. May be repeated only once with approval.
