MS | 1023 | Business Statistics with Computer Applications I | P IS 1403 MAT 1033 | C | Prerequisites: A grade of “C-” or better in IS 1403 and MAT 1033, or equivalents. | This is the first course in a sequence of three courses designed to introduce basic statistical and quantitative techniques for business and economics. This course examines analytical skills and statistical concepts important in business-oriented environments. Various statistical techniques will be presented to assist in solving problems encountered by organizations. Topics include, but are not limited to, descriptive statistics, measures of central tendency and dispersion, elementary probability theory, expected value, random variables, discrete and continuous distributions, sampling distributions, point and interval estimation, and hypothesis testing. Electronic spreadsheets will be utilized for analyzing and interpreting data.
STA | 3003 | Applied Statistics | P | C MAT 1033 MAT 1093 MAT 1214 STA 3023 | Prerequisite: Completion of or concurrent enrollment in MAT 1033, MAT 1093, MAT 1214, STA 3023, or an equivalent. | Introduction to the Scientific Method; principles of sampling and experimentation; scales of measurement, exploratory data analysis; introduction to basic probability; models for discrete and continuous data; simple simulations and inferences based on resampling; fundamentals of hypothesis testing and confidence intervals; introduction to analysis of variance and linear regression model. The course will emphasize data analysis and interpretation and effective communication of results through reports or presentations.
STA | 3013 | Multivariate Analysis for the Life and Social Sciences | P STA 3003 STA 3513 | C | Prerequisite: STA 3003, STA 3513, or an equivalent. | This course emphasizes application of statistics in organizations. Topics include, but are not limited to the multivariate normal distribution, tests on means, discriminant analysis, cluster analysis, principal components, and factor analysis. Use of software packages will be emphasized. Open to students of all disciplines.
STA | 3023 | Statistical Mathematics | P MAT 1093 | C | Prerequisite: MAT 1093 or an equivalent course or satisfactory performance on a placement examination. | Concepts include sequences, series, convergence, limit, continuity, derivative, optimization, the fundamental theorem of calculus, methods of integration, Taylor expansions, function of several variables, partial derivatives, and multivariate transformations. Other topics include vector and matrix algebra, determinants, inverse matrix, eigenvalues and eigenvectors.
STA | 3313 | Experiments and Sampling | P MS 1023 STA 1043 STA 1053 STA 2303 STA 3003 | C | Prerequisite: One of the following: MS 1023, STA 1043, STA 1053, STA 2303, STA 3003, or an equivalent. | Research techniques for collecting quantitative data: sample surveys, designed experiments, simulations, and observational studies; development of survey and experimental protocols; measuring and controlling sources of measurement error.
STA | 3433 | Applied Nonparametric Statistics | P MS 3313 STA 2303 STA 3003 STA 3513 | C | Prerequisite: One of the following: MS 3313, STA 2303, STA 3003, or STA 3513. | Tests of location, goodness-of-fit tests, rank tests, tests based on nominal and ordinal data for both related and independent samples, and measures of association.
STA | 3513 | Probability and Statistics | P STA 3003 STA 3023 MAT 1224 | C | Prerequisites: STA 3003 and one of the following: STA 3023 or MAT 1224. | Axiomatic probability; random variables; discrete and continuous distributions; bivariate and multivariate distributions and their applications; mixture distributions; moments and generating functions, bivariate transformations.
STA | 3523 | Mathematical Statistics | P STA 3513 | C | Prerequisite: STA 3513 or an equivalent. | Sampling distributions and the Central Limit Theorem; order statistics; estimation including method of moments and maximum likelihood; properties of estimators; hypothesis testing including likelihood ratio tests; introduction to ANOVA and regression.
STA | 3533 | Probability and Random Processes | P EGR 2323 | C | Prerequisite: EGR 2323. | Probability, random variables, distribution and density functions, limit theorems, random processes, correlation functions, power spectra, and response of linear systems to random inputs.
STA | 3813 | Discrete Data Analysis | P STA 3003 STA 3513 | C | Prerequisite: STA 3003 or STA 3513. | Introduction to methods for analyzing discrete (categorical) data. Course emphasizes the uses and interpretations of the methods rather than the underlying theory. Topics include Two-way and Three-Way Contingency Tables, Partial Association, Cochran-Mantel-Haenszel Method, Generalized Linear models, Model Inference and Model Checking, Logistic Regression, Loglinear Models, and Models for Matched Pairs.
STA | 4133 | Introduction to Programming and Data Management in SAS | P | C | | This course introduces essential programming concepts using SAS Enterprise Guide software, with a focus on data management and the preparation of data for statistical analyses. Topics include reading raw data, creating temporary and permanent datasets, manipulating datasets, data prompts, summarizing data, displaying data using tables, charts, and plots, and conducting basic statistical analyses. This course also demonstrates how to write, generate, and modify SAS code within SAS Enterprise Guide.
STA | 4143 | Data Mining | P STA 4133 | C | Prerequisite: STA 4133 or equivalent. | Acquisition, organization, exploration, and interpretation of large data collections. Data cleaning, representation and dimensionality, multivariate visualization, clustering, classification, and association rule development. A variety of commercial and research software packages will be used.
STA | 4233 | Statistical Applications Using SAS Software | P STA 4133 MS 3313 STA 3003 STA 3513 STA 3523 | C | Prerequisites: STA 4133 or approval of instructor; and one of the following: MS 3313, STA 3003, STA 3513, or STA 3523. | Analysis of datasets using the statistical software package SAS. Methods for analyzing continuous and categorical data will be introduced, using procedures from Base SAS, SAS/GRAPH and SAS/STAT software. Techniques for efficient programming will be stressed. Examples will be drawn from regression analysis, analysis of variance, categorical analysis, multivariate methods, simulation, and resampling.
STA | 4643 | Introduction to Stochastic Processes | P STA 3513 | C | Prerequisite: STA 3513. | Probability models, Poisson processes, finite Markov chains, including transition probabilities, classification of states, limit theorems, queuing theory, and birth and death processes.
STA | 4713 | Applied Regression Analysis | P MS 3313 STA 3003 | C | Prerequisite: MS 3313 or STA 3003. | An introduction to regression analysis, with emphasis on practical aspects, fitting a straight line, examination of residuals, matrix treatment of regression analysis, fitting and evaluation of general linear models, and nonlinear regression.
STA | 4723 | Introduction to the Design of Experiments | P MS 3313 STA 3003 | C | Prerequisite: MS 3313 or STA 3003. | General concepts in the design and analysis of experiments. Emphasis will be placed on both the experimental designs and analysis and tests of the validity of assumptions. Topics covered include completely randomized designs, randomized block designs, complete factorials, fractional factorials, and covariance analysis. The use of computer software packages will be stressed.
STA | 4753 | Time-Series Analysis | P STA 3513 STA 3533 | C | Prerequisite: STA 3513 or STA 3533, or an equivalent. | Development of descriptive and predictive models for time-series phenomena. A variety of modeling approaches will be discussed: decomposition, moving averages, time-series regression, ARIMA, and forecasting errors and confidence intervals.
STA | 4803 | Statistical Quality Control | P STA 2303 STA 3003 STA 3513 | C | Prerequisite: STA 2303, STA 3003, STA 3513, or an equivalent. | Statistical methods are introduced in terms of problems that arise in manufacturing and their applications to the control of manufacturing processes. Topics include control charts and acceptance sampling plans. (Same as MAT 4803. Credit cannot be earned for both STA 4803 and MAT 4803.).
STA | 4903 | Applied Survival Analysis | P STA 3523 | C | Prerequisite: STA 3523 or an equivalent. | Measures of survival, hazard function, mean residual life function, common failure distributions, procedures for selecting an appropriate model, the proportional hazards model. Emphasis on application and data analysis using SAS.
STA | 4913 | Independent Study | P | C | Prerequisites: A 3.0 College of Business grade point average, permission in writing (form available) from the instructor, the student’s advisor, the Department Chair, and the Dean of the College in which the course is offered. | Independent reading, research, discussion, and/or writing under the direction of a faculty member. May be repeated for credit, but not more than 6 semester credit hours, regardless of discipline, will apply to a bachelor’s degree.
STA | 4933 | Internship in Statistics | P | C | Prerequisites: Permission in writing from the instructor, the Department Chair, and the Dean of the College of Business; and a 2.5 UTSA grade point average. See academic advisor for required forms and additional requirements. | Supervised full- or part-time work experience in statistics. Offers opportunities for applying statistics in private businesses or public agencies. May be repeated for credit, but not more than 6 semester credit hours will apply to a bachelor's degree.
STA | 4953 | Special Studies in Statistics | P | C | Prerequisites: Consent of instructor, Department Chair and Dean of the College. | An organized course offering the opportunity for specialized study not normally or not often available as part of the regular course offerings. Special Studies may be repeated for credit when the topics vary, but not more than 6 semester credit hours, regardless of discipline, will apply to a bachelor’s degree.
STA | 4993 | Honors Thesis | P STA 3523 | C | Prerequisites: STA 3523 and consent of instructor, Department Chair and Dean of the College. Enrollment limited to students applying for Honors in Management Science and Statistics. | Supervised research and preparation of an honors thesis. May be repeated once for credit with advisor’s approval.
