SOC | 1013 | Introduction to Sociology | P | C | | Introduces the study of human groups, the relations of individuals to groups, and the process of becoming a group member and functioning in a group setting. May be applied toward the Core Curriculum requirement in Social and Behavioral Sciences. (Formerly titled “Introduction to the Study of Society.”).
SOC | 3193 | The Sociology of Work and Occupations | P SOC 1013 | C | Prerequisite: SOC 1013, or consent of instructor. | Explores occupational structures in selected societies; the relationship between occupations and economic rewards, lifestyles, and worldview; and determinants of work satisfaction.
SOC | 3203 | Gerontology | P | C | | Examines the historical and cross-cultural differences in the status of the elderly in society. Includes interaction of the elderly with social institutions, and policy implications of the demographic shift toward an aging population in the United States.
SOC | 3213 | Medical Sociology | P | C | | Examines social factors in the cause and distribution of disease; relationships between patients and medical professionals; the contribution of lay belief to health, illness, treatment, and recovery; the organization of health-care delivery; and the disparities in the distribution of medical resources.
SOC | 3223 | Population Dynamics and Demographic Techniques | P | C | | Introduces the common methods, techniques, and models employed by demographers. Topics may include demographic data sources, introduction to life table techniques; construction, standardization, and decomposition of rates; measures of concentration and diversity; and population growth projections. Students will become familiar with microcomputer programs for demographic analysis. (Formerly titled “Demographic Techniques.”).
SOC | 3253 | The Individual and Society | P | C | | Examines the major theories dealing with the effects of culture and social structure on the development and functioning of the personality and the self.
SOC | 3263 | Latinas in U | P | C | | Focuses on women of Latino descent in the United States with a comparative emphasis on the experiences of Texas Latinas relative to those residing elsewhere in the Southwest. Topics may include: historical presence in the Southwest; patriarchy and familism; labor and employment issues; immigration and border issues; political involvement and feminist vision; artistic, cultural and intellectual expression. (Same as WS 3953. Credit cannot be earned for both SOC 3263 and WS 3953 when topic is the same.).
SOC | 3283 | Poverty | P | C | | Examines the causes and consequences of poverty in the United States and selected other societies. An examination of social programs designed to combat poverty.
SOC | 3293 | Sociology of Gender | P | C | | Explores the nature of gender roles in our own and other societies. Consideration of how people learn gender roles and the outcomes of this learning for individuals, families, and societies. Alternatives to conventional gender roles. (Formerly titled “Gender Roles.”).
SOC | 3323 | Introduction to Social Research | P SOC 1013 | C | Prerequisite: SOC 1013. | Introduction to the philosophy of science and the logic of research design. Examines a variety of social research designs including experiments, survey research, content analysis, and historical analysis. Course emphasizes techniques related to information gathering, basic data analysis, and reporting findings. (Formerly titled “Research Methods in Sociology.”).
SOC | 3343 | Classical Sociological Theory | P SOC 1013 | C | Prerequisite: SOC 1013. | Examines the transition from social philosophy to sociology, with special emphasis on the work of Karl Marx, Emile Durkheim and Max Weber. The foundational theories and concepts in sociology are addressed, with attention also given to the application of theory to longstanding and current social issues. (Formerly SOC 3153. Credit cannot be earned for both SOC 3343 and SOC 3153.).
SOC | 3353 | Contemporary Sociological Theory | P SOC 1013 | C | Prerequisite: SOC 1013. | Examines contemporary paradigms in sociological theory (e.g., functionalism, neo-Marxism, phenomenology, and feminism), and current debates over the state of theory. Attention is also given to the linkages between theory and research. (Formerly SOC 3183. Credit cannot be earned for both SOC 3353 and SOC 3183.).
SOC | 3373 | Qualitative Research Methods | P SOC 3323 | C | Prerequisite: SOC 3323. | Introduces the philosophy of science and research design, including participant observation, in-depth interviews, oral history, and focus groups through field research. The course provides opportunities for developing qualitative research skills while gaining familiarity with issues and problems common to these methods.
SOC | 3393 | Quantitative Research Methods | P SOC 1013 SOC 3323 | C | Prerequisites: Completion of the Core Curriculum requirement in mathematics, SOC 1013, and SOC 3323. | Application of conceptualization and operationalization in the quantitative analysis of a variety of sociological subjects. Use of elementary measures of central tendency and dispersion, crosstabulations, and linear model procedures to evaluate relationships among variables; problems of descriptions and inference. Includes the use of standard computer packages and secondary analysis of data. (Formerly SOC 3313. Credit cannot be earned for both SOC 3313 and SOC 3393.).
SOC | 3413 | Sociology of the Mexican American Community | P | C | | Focuses on contemporary issues regarding Mexican American communities. Topics of discussion include family structure, gender roles, border issues and political power. Comparison with other minorities and the majority group will allow discussion of variant community patterns. (Same as MAS 3413. Credit cannot be earned for both MAS 3413 and SOC 3413.) (Formerly titled “Mexican American Family.”).
SOC | 3423 | Mass Media in Society | P | C | | Examines media production and its role in the economy; the construction of media meaning, signification, and ideology; and the role of the audience in making sense of messages. Larger issues of societal power will be treated, along with an examination of alternative media.
SOC | 3433 | Mexican Immigration and U | P | C | | Focuses on the growth and development of the Mexican population in the United States and controversies around Mexican immigration, both legal and undocumented. Uses a sociological perspective to present a historical analysis of Mexican migration to the United States, theoretical explanations of migrations, and the social implications of these issues.
SOC | 3463 | Sociology of Sport and Leisure | P | C | | Examines the social meanings of play and leisure in advanced industrial societies. Emphasis will be on the origins, structure, and function of these phenomena in the United States, with major emphasis on sport as an institution.
SOC | 3503 | Sociology of Education | P | C | | Explores education as an institution that affects and is affected by the larger social structure. Topics may include the role of schools in society; connections between schooling, stratification and the economy; gender and ethnic differences in achievement; and social and cultural contexts of learning.
SOC | 3513 | Children and Society | P | C | | Examines the evolution of concepts of childhood over time. Topics may include theories of child development, cultural and social influences in child raising, the effects of affluence and poverty on children, children in postmodern societies, and child socialization in different cultures.
SOC | 3543 | Data Management in Public Health | P | C | | Provides an introduction to data management for research projects in public health using microcomputers. Topics include design of data collection forms, data entry, computer managed documentation and statistical computing using SPSS/SAS. (Same as PUB 2113. Credit cannot be earned for both SOC 3543 and PUB 2113.).
SOC | 4023 | Violence and Society | P | C | | Examines and assesses the major social science perspectives and theories that attempt to explain why violence occurs in society. (Formerly SSC 3203. Credit cannot be earned both for SOC 4023 and SSC 3203.).
SOC | 4043 | Global Health | P | C | | Covers the field of global health, particularly the serious health problems facing developing world populations. The course begins with an introduction to the global burden of disease and then examines the complex social, economic, political, environmental, and biological factors that structure the origins, consequences and possible treatments of disease. Provides an introductory survey of the basic issues and initiatives in contemporary international public health, and develops student awareness of the socioeconomic and cultural complexity of health problems in developing nations.
SOC | 4053 | Health Care System | P | C | | Covers the complexities of health care organization and finance and presents a general overview of how the U.S. health care systems work and how the major components within the system fit together. Covers basic structures and operations of the U.S. health system—from its historical origins and resources, to its individual services, cost, and quality. Compares and contrasts the U.S. health care system with other health care systems around the world.
SOC | 4073 | Social and Behavioral Theories in Public Health | P | C | | Examines the fundamental social and behavioral theories that drive research and practice in public health. The course covers a number of social and behavioral theories commonly used in public health education interventions at the individual, group, and community levels.
SOC | 4083 | Behavioral Epidemiology | P | C | | Provides an introduction to the social/behavioral sciences in public health, basic behavioral measurement methods, and basic knowledge of epidemiologic application in the area of social and behavioral science. The course will stress the relationship of human behavior to disease, and ways in which the social/behavioral sciences differ from epidemiology with respect to approaches to measurement, terminology, and analytic methods. In addition, the course will examine the literature, and explore in-depth and quantify the determinants of behavior that are risk factors for several chronic and infectious disorders. (Same as PUB 3413. Credit cannot be earned for both SOC 4083 and PUB 3413.).
SOC | 4433 | Culture and Society | P | C | | Explores the social significance of cultural production, including the relationships between art, consciousness, the economy, and history. Themes examined may include the social production of art, art and ideology, the problem of artistic reception, and art movements and cultural resistance. Topics include art and culture in minority social movements, the relation between high and low culture, and cultural conflict over art.
SOC | 4683 | Health Disparities | P | C | | The main purpose of this course is to provide students with an understanding of how racial/ethnic, social, economic, demographic and gender factors contribute to disparities in health and health care in the United States.
SOC | 4853 | Special Studies in Sociology | P | C | Prerequisite: Consent of instructor. | An organized course offering the opportunity for specialized study not normally or not often available as part of the regular course offerings. Special Studies may be repeated for credit when topics vary, but not more than 6 semester credit hours, regardless of discipline, will apply to a bachelor’s degree. (Formerly SOC 4953. Credit may be earned for both SOC 4853 and SOC 4953 but may not exceed 6 semester credit hours combined.).
SOC | 4863 | Topics in Sociology | P | C | Prerequisite: Consent of instructor. | An organized course offering the opportunity for a specialized topic not normally or not often available as part of the regular course offerings. Special Topics may be repeated for credit when topics vary, but not more than 6 semester credit hours, regardless of discipline, will apply to a bachelor’s degree.
SOC | 4913 | Independent Study | P | C | Prerequisites: Permission in writing (form available) from the instructor, the student’s advisor, the Department Chair, and the Dean of the College in which the course is offered. | Independent reading, research, discussion, and/or writing under the direction of a faculty member. May be repeated for credit, but not more than 6 semester credit hours of independent study, regardless of discipline, will apply to a bachelor’s degree.
SOC | 4923 | Public Health Study Abroad | P | C | | The purpose of this course is to provide students greater understanding of global health issues. The study abroad program focuses on health care and public health in different international settings and provides students with a unique opportunity to integrate direct academic learning and field experience in public health. The program involves attending class room lectures in public health and interacting with local public health officials in understanding how health care system is responding to the health needs of its population. This course will satisfy 3 hours of the Public Health Internship requirement under the Sociology degree.
SOC | 4933 | Internship in Sociology | P SOC 3343 SOC 3353 SOC 3373 SOC 3393 | C | Prerequisites: Completion of SOC 3343 or SOC 3353 and SOC 3373 or SOC 3393 and consent of internship coordinator. | Provided as part of the COLFA Signature Experience and offers supervised work experience relevant to sociology within selected organizations and agencies. Internships selected should be relevant to previous coursework. A maximum of 6 semester credit hours may be earned through this internship.
SOC | 4936 | Internship in Sociology | P SOC 3343 SOC 3353 SOC 3373 SOC 3393 | C | Prerequisites: Completion of SOC 3343 or SOC 3353 and SOC 3373 or SOC 3393 and consent of internship coordinator. | Provided as part of the COLFA Signature Experience and offers supervised work experience relevant to sociology within selected organizations and agencies. Internships selected should be relevant to previous coursework. A maximum of 6 semester credit hours may be earned through this internship.
SOC | 4993 | Honors Thesis | P | C | Prerequisite: Enrollment limited to candidates for Honors in Sociology during the last two semesters. | Supervised research and preparation of an honors thesis. May be repeated once with advisor’s approval.
