CS | 1023 | Cultural Implications of the Information Society | P | C | | This course offers an examination of the modern information society and the influences of technological advances on society and culture. The emphasis is on information and its management from ethical, social, and legal perspectives. Students will make extensive use of the World Wide Web. May be applied toward the core curriculum requirement in World Society and Issues.
CS | 3733 | Operating Systems | P CS 3421 CS 3423 CS 3443 CS 3841 CS 3843 | C CS 3731 | Prerequisites: CS 3421, CS 3423, CS 3443, CS 3841, and CS 3843. Concurrent enrollment in CS 3731 is required. | An introduction to the functions and major techniques of a modern multiprogramming operating system. Includes exposure to the fundamentals of processor management, process synchronization, memory management, and peripheral management.
CS | 3743 | Introduction to Database Systems | P CS 2233 CS 3421 CS 3423 | C | Prerequisites: CS 2233, CS 3421, and CS 3423. | Study of fundamentals of database systems. Topics include basic concepts, various data models, database design, storage systems, indexing and hashing, database application design and implementation, and commercially available database systems.
CS | 3773 | Software Engineering | P CS 3443 | C | Prerequisite: CS 3443. | Introduction to different aspects of software engineering with the concentration on processes, methods, and tools for developing reliable software-centered systems. Study of software development process models, project management, a variety of modeling notations, requirement analysis, architecture design methods, and testing techniques.
CS | 3793 | Introduction to Artificial Intelligence | P CS 3341 CS 3343 | C | Prerequisites: CS 3341 and CS 3343. | Discussion of theorem-proving by machine; includes computational linguistics, psychological modeling, and computer games.
CS | 3841 | Computer Organization Recitation | P CS 2121 CS 2123 | C CS 3843 | Prerequisites: CS 2121 and CS 2123. Concurrent enrollment in CS 3843 is required. | Recitation to accompany CS 3843. (Formerly CS 2731. Credit cannot be earned for both CS 3841 and CS 2731.).
CS | 3843 | Computer Organization | P CS 2121 CS 2123 | C CS 3841 | Prerequisites: CS 2121 and CS 2123. Concurrent enrollment in CS 3841 is required. | Organization of a computer system is introduced at block diagram level. Programming in assembly language and understanding the macroarchitecture of a computer is emphasized. Fundamentals of digital systems are introduced and the designs of various components used are investigated. (Formerly CS 2733. Credit cannot be earned for both CS 3843 and CS 2733.).
CS | 3851 | Computer Architecture Recitation | P CS 3421 CS 3423 CS 3841 CS 3843 | C CS 3853 | Prerequisites: CS 3421, CS 3423, CS 3841, and CS 3843. Concurrent enrollment in CS 3853 is required. | Recitation to accompany CS 3853. (Formerly CS 4751. Credit cannot be earned for both CS 3851 and CS 4751.).
CS | 3853 | Computer Architecture | P CS 3421 CS 3423 CS 3841 CS 3843 | C CS 3851 | Prerequisites: CS 3421, CS 3423, CS 3841, and CS 3843. Concurrent enrollment in CS 3851 is required. | Instruction set architecture, datapath and control unit design, advanced computer arithmetic, pipelining, memory hierarchy and I/O subsystem, performance issues. (Formerly CS 4753. Credit cannot be earned for both CS 3853 and CS 4753.).
CS | 3873 | Computer Networks | P CS 3841 CS 3843 | C | Prerequisites: CS 3841 and CS 3843. | Network architecture, TCP/IP protocol suite, routing, data-link layer protocols, medium access control protocols, error detection and recovery, local area networks, wireless and mobile networks. (Formerly CS 4873. Credit cannot be earned for both CS 3873 and CS 4873.).
CS | 4313 | Automata, Computability, and Formal Languages | P CS 3341 CS 3343 | C | Prerequisites: CS 3341 and CS 3343. | Discussion of abstract machines (finite state automata, pushdown automata, and Turing machines), formal grammars (regular, context-free, and type 0), and the relationship among them.
CS | 4353 | Unix and Network Security | P CS 3433 | C | Prerequisite: CS 3433. | A technical survey of the fundamentals of computer and information security. Issues include cryptography, authentication, attack techniques at both the OS and network level, defense techniques, intrusion detection, scan techniques and detection, forensics, denial of service techniques and defenses, libpcap, libdnet and libnet programming.
CS | 4363 | Cryptography | P CS 3341 CS 3343 CS 3433 | C | Prerequisites: CS 3341, CS 3343, and CS 3433. | A course in pure and applied cryptography, with emphasis on theory. Topics may include conventional and public-key cryptosystems, signatures, pseudo-random sequences, hash functions, key management, and threshold schemes.
CS | 4383 | Computer Graphics | P CS 2121 CS 2123 CS 3341 CS 3343 | C | Prerequisites: CS 2121, CS 2123, CS 3341, and CS 3343. | An introduction to two- and three-dimensional generative computer graphics. Display devices, data structures, mathematical transformations, and algorithms used in picture generation, manipulation, and display.
CS | 4393 | User Interfaces | P CS 3443 | C | Prerequisite: CS 3443. | Study of advanced user interface issues. User interface design, human factors, usability, GUI programming models, and the psychological aspects of human-computer interaction.
CS | 4413 | Web Technologies | P CS 3421 CS 3423 | C | Prerequisites: CS 3421 and CS 3423. | Fundamentals of Web and component technology: markup languages, layout design, client and server side programming, database and Web integration.
CS | 4593 | Topics in Computer Science | P | C | Prerequisite: Consent of instructor. | Advanced topics in an area of computer science. May be repeated for credit when topics vary.
CS | 4633 | Simulation | P CS 3341 CS 3343 | C | Prerequisites: CS 3341 and CS 3343. | Design, execution, and analysis of simulation models, discrete event simulation techniques, input and output analysis, random numbers, and simulation tools and languages.
CS | 4713 | Compiler Construction | P CS 3341 CS 3343 CS 3841 CS 3843 | C | Prerequisites: CS 3341, CS 3343, CS 3841, and CS 3843. | An introduction to implementation of translators. Topics include formal grammars, scanners, parsing techniques, syntax-directed translation, symbol table management, code generation, and code optimization. (Formerly titled “Compiler Writing.”).
CS | 4723 | Software Validation and Quality Assurance | P CS 3443 | C | Prerequisite: CS 3443. | Study of software validation techniques. Introduction to static analysis and software testing approaches (functional testing, structural testing, integration testing and regression testing). Overview of test planning and test case design. Review of topics in quality assurance.
CS | 4733 | Project Management | P CS 3443 | C | Prerequisite: CS 3443. | Introduction to principles and best practices for software project management. Topics include software process models, capability maturity model, metrics, cost estimation, software project planning, risk management, software configuration management, people management, and software management CASE tools.
CS | 4743 | Applied Software Engineering | P CS 3443 | C | Prerequisite: CS 3443. | Introduction to principles and best practices for the development of software systems. Application of software engineering knowledge of process models, methods, and tools to the design, implementation, and testing of team-based software products.
CS | 4773 | Object-Oriented Systems | P CS 3443 | C | Prerequisite: CS 3443. | An introduction of principles and methodologies of good software design. Study of object-oriented concepts and techniques, encapsulation, inheritance mechanisms, polymorphism, and programming in one or more object-oriented languages. Examination of design patterns that provide reusable solutions to problems in object-oriented design.
CS | 4823 | Introduction to Parallel Programming | P CS 3341 CS 3343 CS 3421 CS 3423 | C | Prerequisites: CS 3341, CS 3343, CS 3421, and CS 3423. | Parallel programming concepts (partitioning, synchronization and communication, programming models-shared memory based and message based), programming tools and languages, performance issues.
CS | 4833 | Embedded Systems | P CS 3341 CS 3343 CS 3731 CS 3733 CS 3851 CS 3853 | C | Prerequisites: CS 3341, CS 3343, CS 3731, CS 3733, CS 3851, and CS 3853. | Concepts and design principles of embedded systems. Microprocessor and hardware architecture, sensors and actuators, basic feedback control theory. Real-time scheduling, programming in embedded systems.
CS | 4913 | Independent Study | P | C | Prerequisites: Permission in writing (form available) from the instructor, the student’s advisor, the Department Chair, and the Dean of the College in which the course is offered. | Independent reading, research, discussion, and/or writing under the direction of a faculty member. May be repeated for credit, but not more than 6 semester credit hours, regardless of discipline, will apply to a bachelor’s degree.
CS | 4933 | Internship in Computer Science | P | C | Prerequisites: Junior or senior standing, an overall 2.5 grade point average, and permission in writing from the instructor, the Department Chair, and the Dean of the College of Sciences. | The opportunity for a semester-long work experience in a private business or public agency in a computer science-related position. Not more than 3 semester credit hours of CS 4933, and not more than a total of 6 semester credit hours of CS 4933 and independent study courses may count toward the Bachelor of Science degree in Computer Science. The grade report for this course is either “CR” (satisfactory participation in the internship) or “NC” (unsatisfactory participation in the internship).
CS | 4953 | Special Studies in Computer Science | P | C | Prerequisite: Consent of instructor. | An organized course offering the opportunity for specialized study not normally or not often available as part of the regular course offerings. Special Studies may be repeated for credit when topics vary, but not more than 6 semester credit hours, regardless of discipline, will apply to a bachelor’s degree.
CS | 4993 | Honors Research | P | C | Prerequisites: Enrollment limited to candidates for College Honors during their last two semesters; approval by the College Honors Committee. | Supervised research and preparation of an honors thesis. May be repeated once with approval.
