CLA | 1114 | Basic Individualized Instruction | P | C | Prerequisites: Permission in writing (form available) of the instructor, the student's advisor, the Department Chair, and the Dean of the College in which the course is offered. | Independent reading, research, discussion, and/or writing under the direction of a faculty member. May be repeated for credit, but not more than 8 hours of basic individualized instruction will apply to a bachelor’s degree.
GRK | 3113 | Selected Greek Authors | P GRK 2113 | C | Prerequisite: GRK 2113 or the equivalent. | Reading and in-depth analysis of a particular Greek prose author such as Lysias, Herodotus, Demosthenes, Plato or Isocrates.
GRK | 3123 | Selected Greek Authors | P GRK 2113 | C | Prerequisite: GRK 2113 or the equivalent. | Reading and in-depth analysis of a particular Greek poet such as Hesiod or Homer, a specific genre such as elegiac or lyric poetry, or a play of the tragedians Aeschylus, Sophocles, and Euripides.
HUM | 1203 | Medical Humanities and Ethics | P | C | Prerequisite: Completion of Core Curriculum requirement in rhetoric. | The practice of medicine has long been considered both an art and a science. Through examination of texts in the medical humanities and health care ethics, this course explores the art of medicine, the meaning of illness, and what it means to practice medicine, which includes the interrelationship of professional identity formation and ethics.
HUM | 2023 | Introduction to the Humanities I | P | C | Prerequisite: Completion of Core Curriculum requirement in rhetoric. | An introductory survey of the important aesthetic works, ideas, social structures, and other cultural productions of Western Civilization from the Paleolithic through the Medieval eras. This course will employ an interdisciplinary approach designed to acquaint students with major cultural modes in Western Civilization with a particular focus on aesthetic works and the dominant critical approaches used to address them. May be applied toward the Core Curriculum requirement in Creative Arts.
HUM | 2033 | Introduction to the Humanities II | P | C | Prerequisite: Completion of Core Curriculum requirement in rhetoric. | An introductory survey of the important aesthetic works, ideas, social structures, and other cultural productions of Western Civilization from the Renaissance through the Present. This course will employ an interdisciplinary approach designed to acquaint students with major cultural modes in Western Civilization with a particular focus on aesthetic works and the dominant critical approaches used to address them. May be applied toward the Core Curriculum requirement in Creative Arts.
HUM | 2053 | History of Film | P | C | Prerequisite: Completion of Core Curriculum requirement in rhetoric. | An introductory survey of the history, criticism, and cultural importance of film in Western Culture. This course will focus on the development of film as a medium for cultural production including a comparative analysis between film and other cultural media such as literature, drama, and the visual arts. May be applied toward the Core Curriculum requirement in Creative Arts.
HUM | 2093 | World Religions | P | C | Prerequisite: Completion of Core Curriculum requirement in rhetoric. | Examination of the origins, teachings, development, and philosophical foundations of the world’s chief religious movements, such as Hinduism, Buddhism, Shintoism, Confucianism, Taoism, Sikhism, Jainism, Islam, Zoroastrianism, Judaism, and Christianity. May be applied toward the Core Curriculum requirement in Language, Philosophy and Culture. (Formerly HUM 3093. Credit cannot be earned for both HUM 2093 and HUM 3093.).
HUM | 3013 | History of Ideas | P | C | Prerequisite: Completion of Core Curriculum requirement in rhetoric. | Survey of the development and influence of major philosophical, scientific, and aesthetic conceptions from ancient times to the present.
HUM | 3023 | The Medieval World | P | C | Prerequisite: Completion of Core Curriculum requirement in rhetoric. | Interdisciplinary investigation of medieval thought and culture as exemplified in major works of literature, philosophy, theology, and history.
HUM | 3033 | Renaissance Ideas | P | C | Prerequisite: Completion of Core Curriculum requirement in rhetoric. | Interdisciplinary investigation of Renaissance thought and culture, as exemplified in major works of literature, philosophy, history, theology, and fine arts.
HUM | 3043 | Classicism and Enlightenment | P | C | Prerequisite: Completion of Core Curriculum requirement in rhetoric. | Interdisciplinary investigation of thought and culture in the later 17th and the 18th centuries, as exemplified in major works of philosophy, literature, and the fine arts.
HUM | 3053 | The Romantic Age | P | C | Prerequisite: Completion of Core Curriculum requirement in rhetoric. | Interdisciplinary investigation of the development of ideas in literature, philosophy, art, politics, and society at the end of the 18th and beginning of the 19th century.
HUM | 3063 | The Modern World | P | C | Prerequisite: Completion of Core Curriculum requirement in rhetoric. | Interdisciplinary investigation of modern thought in the late 19th and 20th centuries, as exemplified in major works of philosophy, literature, and the fine arts.
HUM | 3103 | American Film | P | C | Prerequisite: Completion of Core Curriculum requirement in rhetoric. | Survey of the art, history, development, and major critical approaches to American film with attention to such topics as classic and revisionist film styles, cinematic apparatus, the history and development of film genres, and film as a part of American culture.
HUM | 3203 | Film Genres | P | C | Prerequisite: Completion of Core Curriculum requirement in rhetoric. | Intensive study of a particular film genre, such as Western, science fiction, film noir, or documentary. May be repeated for credit when topics vary.
HUM | 3213 | The Christian Classics | P | C | Prerequisite: Completion of Core Curriculum requirement in rhetoric. | The opportunity for an intensive survey of selected works of writers studied in the context of Christian thought.
HUM | 3223 | The Bible as Literature | P | C | Prerequisite: Completion of the Core Curriculum requirement in literature. | Offers the opportunity to survey major themes, stories, and motifs in the Old and New Testament, with emphasis on those elements fundamental to Western culture.
HUM | 3303 | Major Filmmaker | P | C | Prerequisite: Completion of Core Curriculum requirement in rhetoric. | Intensive study of the work of a particular major filmmaker, such as Alfred Hitchcock, Akira Kurosawa, Orson Welles, Charles Chaplin, or Ingmar Bergman. May be repeated for credit when topics vary.
HUM | 3403 | Literature into Film | P | C | Prerequisite: Completion of Core Curriculum requirement in rhetoric. | Examination of what distinguishes and links the media of cinema and written literature. Case studies in adaptation of novels, short stories, and plays into film.
HUM | 3623 | Topics in National Cultures and Civilizations | P | C | Prerequisite: Completion of Core Curriculum requirement in rhetoric. | The cultural life of the respective geographic regions and social strata of individual nations of Europe and America, as reflected in and interpreted by their artistic production. Individual topics may focus on a single nation or several nations. May be repeated for credit when topics vary.
HUM | 3703 | Topics in Popular Culture | P | C | Prerequisite: Completion of Core Curriculum requirement in rhetoric. | Intensive study of a particular period (e.g., the ’20s, the ’60s, the Middle Ages), medium (e.g., television, hip hop, radio), or event (e.g., 9/11, the Alamo, Kennedy assassination) as shaped by and shaper of the popular imagination. May be repeated for credit when topics vary.
HUM | 4911 | Independent Study | P | C | Prerequisites: Permission in writing (form available) of the instructor, the student’s advisor, the Department Chair, and the Dean of the College in which the course is offered. | Independent reading, research, discussion, and/or writing under the direction of a faculty member. May be repeated for credit, but not more than 6 semester credit hours of independent study, regardless of discipline, will apply to a bachelor’s degree.
HUM | 4912 | Independent Study | P | C | Prerequisites: Permission in writing (form available) of the instructor, the student’s advisor, the Department Chair, and the Dean of the College in which the course is offered. | Independent reading, research, discussion, and/or writing under the direction of a faculty member. May be repeated for credit, but not more than 6 semester credit hours of independent study, regardless of discipline, will apply to a bachelor’s degree.
HUM | 4913 | Independent Study | P | C | Prerequisites: Permission in writing (form available) of the instructor, the student’s advisor, the Department Chair, and the Dean of the College in which the course is offered. | Independent reading, research, discussion, and/or writing under the direction of a faculty member. May be repeated for credit, but not more than 6 semester credit hours of independent study, regardless of discipline, will apply to a bachelor’s degree.
HUM | 4953 | Special Studies in Humanities | P | C | Prerequisite: Consent of instructor. | Organized course offering the opportunity for specialized study not normally or not often available as part of the regular course offerings. Special Studies may be repeated for credit when the topics vary, but not more than 6 semester credit hours, regardless of discipline, will apply to a bachelor’s degree.
HUM | 4973 | Senior Seminar in Humanities | P | C | Prerequisites: 12 upper-division semester credit hours in humanities, classics, or philosophy. | Undergraduate seminar limited to students in the humanities emphasis in their senior year. Content varies with each instructor. May be repeated once for credit when topics vary. (Formerly titled “Seminar for Humanities Majors.”).
HUM | 4991 | Honors Thesis | P HUM 4973 | C | Prerequisites: Consent of instructor and Department Scholarship and Honors Committee; enrollment in or completion of HUM 4973. | Supervised research and preparation of an Honors Thesis for the purpose of earning Humanities Honors. May be repeated once with advisor approval.
HUM | 4992 | Honors Thesis | P HUM 4973 | C | Prerequisites: Consent of instructor and Department Scholarship and Honors Committee; enrollment in or completion of HUM 4973. | Supervised research and preparation of an Honors Thesis for the purpose of earning Humanities Honors. May be repeated once with advisor approval.
HUM | 4993 | Honors Thesis | P HUM 4973 | C | Prerequisites: Consent of instructor and Department Scholarship and Honors Committee; enrollment in or completion of HUM 4973. | Supervised research and preparation of an Honors Thesis for the purpose of earning Humanities Honors. May be repeated once with advisor approval.
LAT | 1114 | Introductory Latin I | P | C | | Fundamentals of Latin grammar and readings in Latin. May be applied toward the Core Curriculum requirement in Language, Philosophy and Culture.
LAT | 1124 | Introductory Latin II | P LAT 1114 | C | Prerequisite: LAT 1114. | Fundamentals of Latin grammar and readings in Latin.
LAT | 1214 | Self-Paced Introductory Latin | P | C | | Fundamentals of Latin grammar and readings in Latin. Students take two semesters of this course to complete the first two semesters of Latin on a self-paced basis. May be repeated for credit, but not more than 8 semester credit hours may be used in any degree program. Students must demonstrate competency with a “C-” or better before repeating this course for credit. Students cannot receive credit for both LAT 1114 and a first semester of this course; students cannot receive credit for both LAT 1124 and a second semester of this course.
LAT | 2113 | Intermediate Latin I | P LAT 1124 | C | Prerequisite: LAT 1124 or the equivalent. | Continued practice in reading Latin. Selections from Cicero, Sallust, Catullus, and/or Virgil. Review of Latin grammar and syntax.
LAT | 2123 | Intermediate Latin II | P LAT 2113 | C | Prerequisite: LAT 2113 or the equivalent. | Reading and in-depth analysis of a particular Latin author such as Ovid, Virgil, Cicero, Lucretius, Petronius, or Plautus.
LAT | 2213 | Self-Paced Intermediate Latin | P LAT 1124 | C | Prerequisite: LAT 1124 or the equivalent. | Review of Latin grammar and syntax. Continued practice in reading Latin, including such authors as Catullus, Cicero, Lucretius, Ovid, Petronius, Plautus, Sallust, and Virgil. Students take two semesters of this course to complete the third and fourth semesters of Latin on a self-paced basis. May be repeated for credit, but not more than 8 semester credit hours may be used in any degree program. Students must demonstrate competency with a “C-” or better before repeating this course for credit. Students cannot receive credit for both LAT 2113 and a first semester of this course; students cannot receive credit for both LAT 2123 and a second semester of this course.
LAT | 3113 | Selected Latin Authors | P LAT 2123 | C | Prerequisite: LAT 2123 or the equivalent. | Close reading and critical analysis of a Latin text or texts, author, topic, or genre. May be repeated for credit when authors vary.
LAT | 3213 | Latin Epic Poetry | P | C | Prerequisite: Intermediate Latin II or equivalent. | Students will read, analyze and discuss selections from Vergil’s Aeneid and Ovid’s Metamorphoses, setting the poems in the context of the historical and social events in Rome that inspired them as well as exploring their Greek precedents.
LAT | 3223 | Latin Lyric Poetry | P | C | Prerequisite: Intermediate Latin II or equivalent. | Students will read, analyze and discuss the poetry of Catullus and Horace, setting the poems in the context of the historical and social events in Rome that inspired them and exploring the Greek precedents for the genre of lyric poetry.
LAT | 3253 | Republican Prose | P | C | Prerequisite: Intermediate Latin II or equivalent. | An overview of the development of prose in the Republican era, with an emphasis on the works of Cicero and Caesar. Students consider the rhetorical and generic features of their composition and the historical social and political circumstances that produced them.
LAT | 4013 | Advanced Readings in Latin | P LAT 2123 | C | Prerequisite: LAT 2123 or the equivalent. | Concentrated readings and interpretation of a selected Latin author, genre, or series of texts. May be repeated for credit when topics vary.
MHU | 2013 | Introduction to Medical Humanities | P | C | | Survey of the human aspects of medical practice as addressed through the social sciences, arts, and humanities. Examines concepts of illness and wellness as influenced by the study of history, psychology, cross-cultural variation, ethics, and aesthetics. Emphasis on systems of meaning, representation, reflective practice, and the dynamics of patient-provider interactions. Provides a history of the field of medical humanities and outlines current and future career paths.
MHU | 4813 | Seminar in Medical Humanities | P | C | | Examines current theories, critiques, and applied approaches in medical humanities. Reviews case studies exemplifying contrasting or competing definitions of health, wellness, illness, embodiment, disease, and disability. Sample topics include body image, diagnosis, narrative medicine, and professionalization. May be taught from different perspectives depending upon faculty expertise and interests.
PHI | 1043 | Critical Thinking | P | C | | Introduces students to principles of informal reasoning, especially in practical contexts. Topics may include: forms of reasoning, decision making, organizing data, forming strategies, giving reasons, inductive reasoning, informal fallacies, and obstacles to sound thinking (perceptual, cultural, emotional, intellectual, and expressive) may also be addressed. May be applied toward the Core Curriculum requirement in Language, Philosophy and Culture.
PHI | 2013 | Basic Philosophical Problems | P | C | Prerequisite: Completion of Core Curriculum requirement in rhetoric. | Introduction to philosophy through general problems in metaphysics, epistemology, ethics, political philosophy, and philosophy of religion; emphasis on the writings of philosophers of various historical periods, especially as these doctrines apply to contemporary problems.
PHI | 2023 | Introduction to Ancient Philosophy | P | C | Prerequisite: Completion of Core Curriculum requirement in rhetoric. | Introduction to ancient philosophy through the study of Plato, Aristotle, Epicurus, and others; emphasis on the Greek contribution to the moral and political ideas of the Western world. May be applied toward the Core Curriculum requirement in Language, Philosophy and Culture.
PHI | 2033 | Introduction to Early Modern Philosophy | P | C | Prerequisite: Completion of Core Curriculum requirement in rhetoric. | Introduction to early modern philosophy from the Renaissance to the Enlightenment through the study of Descartes, Locke, Berkeley, Hume, Spinoza, Leibniz, Kant or others. May be applied toward the Core Curriculum requirement in Language, Philosophy and Culture.
PHI | 2043 | Introductory Logic | P | C | Prerequisite: Completion of Core Curriculum requirement in rhetoric. | Introduces students to some of the modern formal systems used to distinguish between good and bad forms of reasoning in either or both of the deductive or inductive realms. Topics may include: translation from natural to formal languages, probability theory, scientific inductive reasoning, Bayesian reasoning, propositional calculus, predicate calculus, other kinds of formal deductive reasoning (e.g., modal, deontic or belief logics), natural deduction and/or other formal proof methods, problems in philosophical logic (denoting, elementary meta-logic, consistency and completeness of formal systems, elementary model theory etc.). May be applied toward the Core Curriculum requirement in the Component Area Option.
PHI | 2063 | Philosophy of Law | P | C | Prerequisite: Completion of Core Curriculum requirement in rhetoric. | Examination of the major issues in the philosophical foundations of law. Topics may include the nature of law, the interpretation of law, the limits of legal regulation, the nature of the obligation to obey the law, the justification of punishment, and a variety of ethical issues that arise in legal contexts. Recommended for pre-law students.
PHI | 2073 | Philosophy of Art | P | C | Prerequisite: Completion of Core Curriculum requirement in rhetoric.  | Examination of major philosophical theories of art, beauty, and aesthetic judgment, with emphasis on such problems as form and structure, communication in art, and meaning in aesthetic judgment. May be applied toward the Core Curriculum requirement in Creative Arts. (Formerly PHI 3053. Credit cannot be earned for both PHI 2073 and PHI 3053.).
PHI | 2123 | Contemporary Moral Issues | P | C | Prerequisite: Completion of Core Curriculum requirement in rhetoric. | Examination of major moral theories and how they afford a rational approach to specific moral issues and a rational basis for resolving moral conflict. Emphasis may be placed on medical, social, engineering and business ethics. May not be repeated for credit. May be applied toward the Core Curriculum requirement in Language, Philosophy and Culture. (Formerly titled “Moral Issues in Contemporary America.”).
PHI | 3013 | Philosophy of Religion | P | C | Prerequisite: Completion of Core Curriculum requirement in rhetoric. | Examination of traditional religious beliefs and such concepts as faith and knowledge, mysticism and theology, the existence and nature of God, and the relation of religion to experience and social life.
PHI | 3033 | Philosophy of Science | P | C | Prerequisite: Completion of Core Curriculum requirement in rhetoric. | Examination of major issues in the philosophical foundations of the natural and social sciences, including scientific explanation, laws and theories, probability and induction, and the relation of scientific inquiry to the Western philosophical tradition.
PHI | 3073 | Asian Philosophy | P | C | Prerequisite: Completion of Core Curriculum requirement in rhetoric. | Examination of the philosophical and religious traditions of the East, with emphasis on various schools such as Vedanta, Buddhism, Confucianism, and Taoism.
PHI | 3213 | Ethics | P | C | Prerequisite: Completion of Core Curriculum requirement in rhetoric. | Examination of ethical theory and of the nature and scope of ethical discourse, with emphasis on the concepts of good, human happiness, self-realization, virtue, duty, responsibility, and the means-ends relationship. Reading will include selected classical and contemporary texts.
PHI | 3223 | Approaches to Knowledge and Reality | P | C | Prerequisite: Completion of Core Curriculum requirement in rhetoric. | Examination of the interrelations between the theory of knowledge and theory of reality, with emphasis on the nature and scope of human knowledge, sensation and understanding, truth and error, change and causality, possibility and actuality, and meaning and existence. Reading will include selected classical and contemporary texts.
PHI | 3303 | Nineteenth-Century Philosophy | P | C | Prerequisite: Completion of Core Curriculum requirement in rhetoric. | Examination of some of the major figures and topics in nineteenth-century philosophy and its intellectual background, including (but not limited to) these figures: Kant, Maimon, Bentham, Fichte, Schelling, Schopenhauer, Hegel, Kierkegaard, Marx, Mill, Nietzsche, Peirce, James, Dewey, Emerson, Thoreau; and these topics: philosophical aspects of German romanticism, idealism, utilitarianism, materialism, pragmatism, transcendentalism.
PHI | 3343 | Issues and Movements in Contemporary Philosophy | P | C | Prerequisite: Completion of Core Curriculum requirement in rhetoric. | Sustained study of one or more specific issues or movements from the end of the nineteenth century to the present day, such as philosophy of language, philosophy of mind, epistemology, political philosophy, theoretical or applied ethics, phenomenology, existentialism, hermeneutics, or postmodernism. May be repeated for credit when topics vary. (Formerly titled “Issues and Movements in Twentieth-Century Philosophy.”).
PHI | 3403 | Philosophy in Literature | P | C | Prerequisite: Completion of Core Curriculum requirement in rhetoric. | Examination of important philosophical questions, such as personal identity, the nature of moral value, and the limits of knowledge, as reflected in world literature, including such genres as fiction, drama, and poetry.
PHI | 4013 | Studies in Individual Philosophers | P | C | Prerequisite: Consent of instructor. | Examination of the works of an individual philosopher or of several philosophers studied in relationship to one another. May be repeated for credit when topics vary.
PHI | 4113 | Contemporary Analytic Philosophy | P | C | Prerequisite: Completion of Core Curriculum requirement in rhetoric. | An in-depth examination of the major trends in the development of the Anglo-American philosophical tradition since its inception at the end of the nineteenth century up to the present day, including the early analysts, the development of logical positivism, and the emergence of nonformal linguistic analysis.
PHI | 4123 | Contemporary Continental Philosophy | P | C | Prerequisite: Completion of Core Curriculum requirement in rhetoric. | A sustained treatment of the major trends in Continental European philosophy since the end of the nineteenth century up to the present day, including movements such as phenomenology, existentialism, hermeneutics, and postmodernism; emphasis on historical development.
PHI | 4333 | Philosophy of Language | P | C | Prerequisite: Completion of Core Curriculum requirement in rhetoric. | A critical examination of traditional problems dealing with the nature and function of language. Representative issues include analyticity, reference, proper names, metaphorical meaning, and speech-act theory.
PHI | 4911 | Independent Study | P | C | Prerequisites: Permission in writing (form available) of the instructor, the student’s advisor, the Department Chair, and the Dean of the College in which the course is offered. | Independent reading, research, discussion, and/or writing under the direction of a faculty member. May be repeated for credit, but not more than 6 semester credit hours of independent study, regardless of discipline, will apply to a bachelor’s degree.
PHI | 4912 | Independent Study | P | C | Prerequisites: Permission in writing (form available) of the instructor, the student’s advisor, the Department Chair, and the Dean of the College in which the course is offered. | Independent reading, research, discussion, and/or writing under the direction of a faculty member. May be repeated for credit, but not more than 6 semester credit hours of independent study, regardless of discipline, will apply to a bachelor’s degree.
PHI | 4913 | Independent Study | P | C | Prerequisites: Permission in writing (form available) of the instructor, the student’s advisor, the Department Chair, and the Dean of the College in which the course is offered. | Independent reading, research, discussion, and/or writing under the direction of a faculty member. May be repeated for credit, but not more than 6 semester credit hours of independent study, regardless of discipline, will apply to a bachelor’s degree.
PHI | 4953 | Special Studies in Philosophy | P | C | Prerequisite: Consent of instructor. | Organized course offering the opportunity for specialized study not normally or not often available as part of the regular course offerings. Special Studies may be repeated for credit when topics vary, but not more than 6 semester credit hours, regardless of discipline, will apply to a bachelor’s degree.
PHI | 4973 | Seminar for Philosophy Majors | P | C | Prerequisite: 12 upper-division semester credit hours in philosophy or consent of the instructor. | An advanced investigation of a single author, text, issue, or problem. Primary emphasis on supervised research on various aspects of the topic. May be repeated once for credit when topics vary.
PHI | 4991 | Honors Thesis | P | C | Prerequisites: Consent of instructor and Department Scholarship and Honors Committee. | Supervised research and preparation of an Honors Thesis for the purpose of earning Philosophy Honors. May be repeated once with advisor approval.
PHI | 4992 | Honors Thesis | P | C | Prerequisites: Consent of instructor and Department Scholarship and Honors Committee. | Supervised research and preparation of an Honors Thesis for the purpose of earning Philosophy Honors. May be repeated once with advisor approval.
PHI | 4993 | Honors Thesis | P | C | Prerequisites: Consent of instructor and Department Scholarship and Honors Committee. | Supervised research and preparation of an Honors Thesis for the purpose of earning Philosophy Honors. May be repeated once with advisor approval.
