CHE | 1004 | Chemistry for Allied Health Sciences | P | C | | Introduction to atomic structure, chemical bonding, stoichiometry, states of matter, inorganic chemical reactions, and acids and bases. The course has a laboratory component to introduce general chemical laboratory techniques, principles, and methods to reinforce lecture topics. For majors in occupational therapy, prenursing, and dental hygiene. May not be applied to a major or minor in chemistry, biology, or clinical laboratory sciences. (Formerly CHE 1003 and CHE 1011.  Credit cannot be earned for both CHE 1003 and CHE 1004.).
CHE | 4463 | Inorganic Chemistry | P CHE 3464 | C CHE 3804 CHE 3854 | Prerequisites: A grade of “C-” or better in CHE 3464, and completion of or concurrent enrollment in CHE 3804 or CHE 3854. | A study of the structure, bonding, and properties of inorganic compounds; acid-base theory, crystalline state, coordination chemistry, and other advanced topics. (Formerly CHE 4263. Credit cannot be earned for both CHE 4463 and CHE 4263.).
CHE | 4473 | Bioinorganic Chemistry | P CHE 3464 CHE 3804 CHE 4303 CHE 4463 | C CHE 4303 | Prerequisites: Grades of “C-” or better in CHE 3464, CHE 3804 (or CHE 3854), and either CHE 4303 or CHE 4463 (or concurrent enrollment in either CHE 4303 or CHE 4463), or consent of instructor. | Study of the functions, reaction sites, mechanisms, molecular architecture, and medicinal aspects of metal ions in biological systems, including bio-organometallic compounds. A discussion of the experimental techniques will be included.
CHE | 4623 | Chemistry of Heterocyclic Compounds | P CHE 3643 | C | Prerequisite: A grade of “C-” or better in CHE 3643 or consent of instructor. | The chemistry of nitrogen, oxygen, and sulfur heterocycles. Five- and six-membered ring systems with one or more heteroatoms. Applications in the field of synthetic drugs. (Formerly CHE 4403. Credit cannot be earned for both CHE 4623 and CHE 4403.).
CHE | 4673 | Intermediate Organic Chemistry | P CHE 3643 | C | Prerequisite: A grade of “C-” or better in CHE 3643, or consent of instructor. | Building on the Organic Chemistry I and II courses, this course focuses on how to draw reasonable “electron-pushing” mechanisms for organic reactions.  Acid-base concepts, stereochemistry and conformations, catalysis, and simple molecular orbital theory will be used as needed.
CHE | 4853 | Computational Chemistry | P CHE 3824 | C | Prerequisite: A grade of “C-” or better in CHE 3824 or consent of instructor. | The application of molecular mechanical, molecular orbital, and density functional methods to problems of molecular structure, property, reactivity, and spectroscopy.
CHE | 4883 | Introduction to Mass Spectrometry | P CHE 3804 | C | Prerequisite: A grade of &quot;C-” or better in CHE 3804 (or CHE 3854), or consent of instructor. | The basic principles of interpreting mass spectra and how they are produced. The effect the method of ion production has on the observed mass spectra, and the theory and operation of various types of mass spectrometers will be covered. The basic theory of ion-molecule reactions and principles and practice of biological mass spectrometry and other advanced topics will be presented. (Formerly CHE 4383. Credit cannot be earned for both CHE 4883 and CHE 4383.).
CHE | 4912 | Independent Study | P | C | Prerequisites: Permission in writing (form available) from the instructor, the student’s advisor, the Department Chair, and Dean of the College in which this course is offered. | Independent reading, research, discussion, and/or writing under the direction of a faculty member. May be repeated for credit, but not more than 6 semester credit hours, regardless of discipline, will apply to a bachelor’s degree.
CHE | 4913 | Independent Study | P | C | Prerequisites: Permission in writing (form available) from the instructor, the student’s advisor, the Department Chair, and Dean of the College in which this course is offered. | Independent reading, research, discussion, and/or writing under the direction of a faculty member. May be repeated for credit, but not more than 6 semester credit hours, regardless of discipline, will apply to a bachelor’s degree.
CHE | 4923 | Special Project in Chemistry | P | C | Prerequisite: Consent of Department Chair (form available in department office). | A special laboratory research or library readings project under the direction of a faculty member that results in a report. Limited to science majors in their final year of undergraduate study.
CHE | 4953 | Special Studies in Chemistry | P | C | Prerequisites: Upper-division standing and consent of instructor. | An organized course offering the opportunity for specialized study not normally or not often available as part of the regular course offerings. Special Studies may be repeated for credit when the topics vary, but not more than 6 semester credit hours, regardless of discipline, will apply to a bachelor’s degree.
CHE | 4993 | Honors Research | P | C | Prerequisites: Enrollment limited to candidates for College Honors during their last two semesters; approval by the College Honors Committee. | Supervised research and preparation of an honors thesis. May be repeated only once with approval.
