ARA | 1014 | Elementary Arabic I | P | C
SPN | 2023 | Intermediate Spanish II | P SPN 2013 | C
SPN | 2333 | Hispanic Literature in English Translation | P WRC 1013 | C
SPN | 2513 | Spanish for Special Purposes | P SPN 2013 | C
SPN | 3003 | Oral and Written Expression | P SPN 2023 | C
SPN | 3013 | Spanish Phonetics and Phonology | P SPN 2023 SPN 3003 | C
SPN | 3033 | Oral Communication Skills | P SPN 2023 SPN 3003 | C
SPN | 3043 | Introduction to Literature | P SPN 3063 | C
SPN | 3063 | Grammar and Composition | P SPN 2023 SPN 3003 | C
SPN | 3113 | Linguistic Structures of Spanish | P SPN 3063 | C
SPN | 3153 | Spanish for the Business | P SPN 2023 SPN 3003 | C
SPN | 3413 | The Literature of Spain from the Middle Ages to  | P SPN 3043 | C
SPN | 3423 | The Literature of Spain from  | P SPN 3043 | C
SPN | 3463 | Latin American Literature to Modernism | P SPN 3043 | C
SPN | 3473 | Latin American Literature since Modernism | P SPN 3043 | C
SPN | 3493 | Mexican American Literature | P SPN 3003 SPN 3063 | C
SPN | 3613 | Spanish Culture and Civilization | P SPN 3043 | C
SPN | 3623 | Latin American Culture and Civilization | P SPN 3043 | C
SPN | 4003 | Advanced Language Skills | P SPN 3043 SPN 3063 | C
SPN | 4113 | Topics in Spanish Linguistics | P SPN 3113 | C
SPN | 4123 | The Spanish of the United States | P SPN 3013 SPN 3113 | C
SPN | 4203 | Topics in Hispanic Literatures | P | C
SPN | 4303 | Topics in Hispanic Cultures | P SPN 3043 | C
SPN | 4913 | Independent Study | P | C
SPN | 4933 | Internship in Spanish | P | C
SPN | 4953 | Special Studies in Spanish | P | C
SPN | 4993 | Honors Research | P | C
